ID,for.pre,for.post,hei.pre,hei.post,sub.pre,sub.post,Location,Condition
ak-ox,8,,2.521126761,,12,,Suburban,Con
bx-wk,7,,1.849462366,,14,,Suburban,Con
bx-yk,7,,7.28,,11,,Suburban,Con
g-x,7,2,0.9140625,1.327102804,11,9,Natural,Con
gx-ak,6,,7.931034483,,18,,Suburban,Con
gx-ok,12,,1.327272727,,21,,Suburban,Con
i-axg,4,7,1.016528926,0.471544715,11,7,Natural,Con
i-pax,5,4,1.544642857,0.861386139,11,7,Natural,Con
i-pax ub,2,,4.75,,7,,Natural,Con
i-wbx,5,,4.444444444,,4,,Natural,Con
i-wxg,4,,0.617021277,,6,,Natural,Con
oi-x,2,,7.5,,5,,Natural,Con
op-xi,1,,1,,3,,Natural,Con
ow-xk,6,,2.27027027,,10,,Suburban,Con
rl-xi,1,,9.25,,6,,Natural,Con
rx-yk,7,,3.631578947,,11,,Suburban,Con
wx-rk,9,,1.784090909,,17,,Suburban,Con
xhw-i ub,4,4,2.606557377,2.2,13,9,Natural,Con
yg-xi,5,1,0.987804878,0.704918033,10,9,Natural,Con
yx-dgk,1,,16.2,,11,,Suburban,Con
yx-gk,3,,2.666666667,,9,,Suburban,Con
bx-ri,7,11,0.402173913,0.299492386,13,16,Natural,Man
h-gwx,9,12,0.644295302,0.690789474,10,10,Natural,Man
h-rwx,3,7,0.936,0.7,9,13,Natural,Man
i-xpo,6,4,1.677777778,1.520833333,9,9,Natural,Man
wk-ox,8,6,1.891566265,2.025,19,19,Suburban,Man
xhw-i,5,8,1.915662651,0.764285714,9,11,Natural,Man
xi-rh,5,8,4.627906977,1.847058824,10,8,Natural,Man
xy-i,5,3,0.404624277,5.153846154,10,8,Natural,Man
yx-wi,9,11,0.189320388,0.212560386,12,13,Natural,Man