n,changeprop_mean,changeprop_sd,repetition,proportion_before,proportion_estimates_below_zero,count_estimates_below_zero
10,0.4,0.1,1,0.5,0.025,50
10,0.4,0.1,2,0.5,0.0585,117
10,0.4,0.1,3,0.5,0.0085,17
10,0.4,0.1,4,0.5,0,0
10,0.4,0.1,5,0.5,0,0
10,0.4,0.1,6,0.5,0.0825,165
10,0.4,0.1,7,0.5,0.0695,139
10,0.4,0.1,8,0.5,0.0445,89
10,0.4,0.1,9,0.5,0.029,58
10,0.4,0.1,10,0.5,0.027,54
10,0.4,0.1,1,0.6,0.0935,187
10,0.4,0.1,2,0.6,0.101,202
10,0.4,0.1,3,0.6,0.055,110
10,0.4,0.1,4,0.6,0.0185,37
10,0.4,0.1,5,0.6,0.0865,173
10,0.4,0.1,6,0.6,0,0
10,0.4,0.1,7,0.6,0.023,46
10,0.4,0.1,8,0.6,0.034,68
10,0.4,0.1,9,0.6,0.043,86
10,0.4,0.1,10,0.6,0.0435,87
10,0.4,0.1,1,0.7,0.1155,231
10,0.4,0.1,2,0.7,0.1825,365
10,0.4,0.1,3,0.7,0.1395,279
10,0.4,0.1,4,0.7,0.069,138
10,0.4,0.1,5,0.7,0.0555,111
10,0.4,0.1,6,0.7,0.2955,591
10,0.4,0.1,7,0.7,0.1465,293
10,0.4,0.1,8,0.7,0.273,546
10,0.4,0.1,9,0.7,0.082,164
10,0.4,0.1,10,0.7,0.1845,369
10,0.3,0.1,1,0.5,0,0
10,0.3,0.1,2,0.5,5E-04,1
10,0.3,0.1,3,0.5,0,0
10,0.3,0.1,4,0.5,0,0
10,0.3,0.1,5,0.5,0,0
10,0.3,0.1,6,0.5,0.0025,5
10,0.3,0.1,7,0.5,5E-04,1
10,0.3,0.1,8,0.5,0.002,4
10,0.3,0.1,9,0.5,0.001,2
10,0.3,0.1,10,0.5,0.0195,39
10,0.3,0.1,1,0.6,0.0025,5
10,0.3,0.1,2,0.6,0.081,162
10,0.3,0.1,3,0.6,0.003,6
10,0.3,0.1,4,0.6,0.005,10
10,0.3,0.1,5,0.6,0.0075,15
10,0.3,0.1,6,0.6,0.0155,31
10,0.3,0.1,7,0.6,0.0655,131
10,0.3,0.1,8,0.6,0.003,6
10,0.3,0.1,9,0.6,0.063,126
10,0.3,0.1,10,0.6,0.0015,3
10,0.3,0.1,1,0.7,0.194,388
10,0.3,0.1,2,0.7,0.1135,227
10,0.3,0.1,3,0.7,0.204,408
10,0.3,0.1,4,0.7,0.076,152
10,0.3,0.1,5,0.7,0.4265,853
10,0.3,0.1,6,0.7,0.327,654
10,0.3,0.1,7,0.7,0.2275,455
10,0.3,0.1,8,0.7,0.065,130
10,0.3,0.1,9,0.7,0.001,2
10,0.3,0.1,10,0.7,0.1655,331
10,0.2,0.1,1,0.5,0.054,108
10,0.2,0.1,2,0.5,0.008,16
10,0.2,0.1,3,0.5,0.001,2
10,0.2,0.1,4,0.5,0,0
10,0.2,0.1,5,0.5,0.001,2
10,0.2,0.1,6,0.5,0,0
10,0.2,0.1,7,0.5,0.0015,3
10,0.2,0.1,8,0.5,0.002,4
10,0.2,0.1,9,0.5,0.01,20
10,0.2,0.1,10,0.5,0,0
10,0.2,0.1,1,0.6,0.0015,3
10,0.2,0.1,2,0.6,0.002,4
10,0.2,0.1,3,0.6,0.0065,13
10,0.2,0.1,4,0.6,0.005,10
10,0.2,0.1,5,0.6,0.179,358
10,0.2,0.1,6,0.6,0,0
10,0.2,0.1,7,0.6,0.0015,3
10,0.2,0.1,8,0.6,0.0145,29
10,0.2,0.1,9,0.6,0,0
10,0.2,0.1,10,0.6,0.0065,13
10,0.2,0.1,1,0.7,0.038,76
10,0.2,0.1,2,0.7,0.129,258
10,0.2,0.1,3,0.7,0.243,486
10,0.2,0.1,4,0.7,0.2745,549
10,0.2,0.1,5,0.7,0.1655,331
10,0.2,0.1,6,0.7,0.1705,341
10,0.2,0.1,7,0.7,0.1745,349
10,0.2,0.1,8,0.7,0.023,46
10,0.2,0.1,9,0.7,0.0065,13
10,0.2,0.1,10,0.7,0.205,410
10,0.1,0.1,1,0.5,0.0285,57
10,0.1,0.1,2,0.5,0.0265,53
10,0.1,0.1,3,0.5,0.0155,31
10,0.1,0.1,4,0.5,0.025,50
10,0.1,0.1,5,0.5,0.0595,119
10,0.1,0.1,6,0.5,0.037,74
10,0.1,0.1,7,0.5,0.0165,33
10,0.1,0.1,8,0.5,0.012,24
10,0.1,0.1,9,0.5,0.02,40
10,0.1,0.1,10,0.5,0.0155,31
10,0.1,0.1,1,0.6,0.02,40
10,0.1,0.1,2,0.6,0.053,106
10,0.1,0.1,3,0.6,0.0105,21
10,0.1,0.1,4,0.6,0.036,72
10,0.1,0.1,5,0.6,0.027,54
10,0.1,0.1,6,0.6,0.022,44
10,0.1,0.1,7,0.6,0.1845,369
10,0.1,0.1,8,0.6,0.0685,137
10,0.1,0.1,9,0.6,0,0
10,0.1,0.1,10,0.6,0.0395,79
10,0.1,0.1,1,0.7,0.0395,79
10,0.1,0.1,2,0.7,0.026,52
10,0.1,0.1,3,0.7,0.282,564
10,0.1,0.1,4,0.7,0.312,624
10,0.1,0.1,5,0.7,0.3385,677
10,0.1,0.1,6,0.7,0.0355,71
10,0.1,0.1,7,0.7,0.1085,217
10,0.1,0.1,8,0.7,0.1615,323
10,0.1,0.1,9,0.7,0.2985,597
10,0.1,0.1,10,0.7,0.1515,303
10,0.05,0.1,1,0.5,0.066,132
10,0.05,0.1,2,0.5,0.496,992
10,0.05,0.1,3,0.5,0.24,480
10,0.05,0.1,4,0.5,0.072,144
10,0.05,0.1,5,0.5,0.124,248
10,0.05,0.1,6,0.5,0.012,24
10,0.05,0.1,7,0.5,0.019,38
10,0.05,0.1,8,0.5,0.481,962
10,0.05,0.1,9,0.5,0.1665,333
10,0.05,0.1,10,0.5,0.472,944
10,0.05,0.1,1,0.6,0.034,68
10,0.05,0.1,2,0.6,0.133,266
10,0.05,0.1,3,0.6,0.169,338
10,0.05,0.1,4,0.6,0.586,1172
10,0.05,0.1,5,0.6,0.2475,495
10,0.05,0.1,6,0.6,0.1685,337
10,0.05,0.1,7,0.6,0.382,764
10,0.05,0.1,8,0.6,0.1605,321
10,0.05,0.1,9,0.6,0.035,70
10,0.05,0.1,10,0.6,0.3145,629
10,0.05,0.1,1,0.7,0.1045,209
10,0.05,0.1,2,0.7,0.333,666
10,0.05,0.1,3,0.7,0.0845,169
10,0.05,0.1,4,0.7,0.369,738
10,0.05,0.1,5,0.7,0.2215,443
10,0.05,0.1,6,0.7,0.452,904
10,0.05,0.1,7,0.7,0.031,62
10,0.05,0.1,8,0.7,0.3075,615
10,0.05,0.1,9,0.7,0.297,594
10,0.05,0.1,10,0.7,0.6455,1291
10,0.025,0.1,1,0.5,0.0565,113
10,0.025,0.1,2,0.5,0.0465,93
10,0.025,0.1,3,0.5,0.6565,1313
10,0.025,0.1,4,0.5,0.734,1468
10,0.025,0.1,5,0.5,0.056,112
10,0.025,0.1,6,0.5,0.1145,229
10,0.025,0.1,7,0.5,0.0075,15
10,0.025,0.1,8,0.5,0.6285,1257
10,0.025,0.1,9,0.5,0.305,610
10,0.025,0.1,10,0.5,0.0885,177
10,0.025,0.1,1,0.6,0.2705,541
10,0.025,0.1,2,0.6,0.7255,1451
10,0.025,0.1,3,0.6,0.117,234
10,0.025,0.1,4,0.6,0.369,738
10,0.025,0.1,5,0.6,0.6795,1359
10,0.025,0.1,6,0.6,0.6205,1241
10,0.025,0.1,7,0.6,0.3165,633
10,0.025,0.1,8,0.6,0.2395,479
10,0.025,0.1,9,0.6,0.2545,509
10,0.025,0.1,10,0.6,0.434,868
10,0.025,0.1,1,0.7,0.4345,869
10,0.025,0.1,2,0.7,0.0305,61
10,0.025,0.1,3,0.7,0.103,206
10,0.025,0.1,4,0.7,0.718,1436
10,0.025,0.1,5,0.7,0.3455,691
10,0.025,0.1,6,0.7,0.614,1228
10,0.025,0.1,7,0.7,0.1115,223
10,0.025,0.1,8,0.7,0.698,1396
10,0.025,0.1,9,0.7,0.2595,519
10,0.025,0.1,10,0.7,0.3145,629
20,0.4,0.1,1,0.5,0,0
20,0.4,0.1,2,0.5,0.0015,3
20,0.4,0.1,3,0.5,0.002,4
20,0.4,0.1,4,0.5,0.003,6
20,0.4,0.1,5,0.5,0,0
20,0.4,0.1,6,0.5,0.002,4
20,0.4,0.1,7,0.5,0.0035,7
20,0.4,0.1,8,0.5,5E-04,1
20,0.4,0.1,9,0.5,5E-04,1
20,0.4,0.1,10,0.5,0.001,2
20,0.4,0.1,1,0.6,0.006,12
20,0.4,0.1,2,0.6,0.004,8
20,0.4,0.1,3,0.6,0.0145,29
20,0.4,0.1,4,0.6,0.0255,51
20,0.4,0.1,5,0.6,0.019,38
20,0.4,0.1,6,0.6,0.0055,11
20,0.4,0.1,7,0.6,0.0095,19
20,0.4,0.1,8,0.6,0.0405,81
20,0.4,0.1,9,0.6,0.0035,7
20,0.4,0.1,10,0.6,0.025,50
20,0.4,0.1,1,0.7,0.062,124
20,0.4,0.1,2,0.7,0.009,18
20,0.4,0.1,3,0.7,0.0195,39
20,0.4,0.1,4,0.7,0.052,104
20,0.4,0.1,5,0.7,0.0605,121
20,0.4,0.1,6,0.7,0.0515,103
20,0.4,0.1,7,0.7,0.0845,169
20,0.4,0.1,8,0.7,0.057,114
20,0.4,0.1,9,0.7,0.0495,99
20,0.4,0.1,10,0.7,0.1155,231
20,0.3,0.1,1,0.5,0,0
20,0.3,0.1,2,0.5,0.0015,3
20,0.3,0.1,3,0.5,0,0
20,0.3,0.1,4,0.5,0,0
20,0.3,0.1,5,0.5,0,0
20,0.3,0.1,6,0.5,0,0
20,0.3,0.1,7,0.5,0,0
20,0.3,0.1,8,0.5,0.002,4
20,0.3,0.1,9,0.5,0,0
20,0.3,0.1,10,0.5,0,0
20,0.3,0.1,1,0.6,0,0
20,0.3,0.1,2,0.6,0.001,2
20,0.3,0.1,3,0.6,0,0
20,0.3,0.1,4,0.6,0.0065,13
20,0.3,0.1,5,0.6,0.0015,3
20,0.3,0.1,6,0.6,0,0
20,0.3,0.1,7,0.6,0.016,32
20,0.3,0.1,8,0.6,0.0115,23
20,0.3,0.1,9,0.6,0.003,6
20,0.3,0.1,10,0.6,0.008,16
20,0.3,0.1,1,0.7,0.0335,67
20,0.3,0.1,2,0.7,0.0895,179
20,0.3,0.1,3,0.7,0.018,36
20,0.3,0.1,4,0.7,0.0865,173
20,0.3,0.1,5,0.7,0.0465,93
20,0.3,0.1,6,0.7,0.0245,49
20,0.3,0.1,7,0.7,0.1015,203
20,0.3,0.1,8,0.7,0.0215,43
20,0.3,0.1,9,0.7,0.0205,41
20,0.3,0.1,10,0.7,0.0325,65
20,0.2,0.1,1,0.5,0,0
20,0.2,0.1,2,0.5,0,0
20,0.2,0.1,3,0.5,0,0
20,0.2,0.1,4,0.5,0,0
20,0.2,0.1,5,0.5,0,0
20,0.2,0.1,6,0.5,0,0
20,0.2,0.1,7,0.5,0,0
20,0.2,0.1,8,0.5,0,0
20,0.2,0.1,9,0.5,0,0
20,0.2,0.1,10,0.5,0.0035,7
20,0.2,0.1,1,0.6,0.0035,7
20,0.2,0.1,2,0.6,0,0
20,0.2,0.1,3,0.6,0,0
20,0.2,0.1,4,0.6,0,0
20,0.2,0.1,5,0.6,0,0
20,0.2,0.1,6,0.6,0.006,12
20,0.2,0.1,7,0.6,0.015,30
20,0.2,0.1,8,0.6,5E-04,1
20,0.2,0.1,9,0.6,0,0
20,0.2,0.1,10,0.6,0,0
20,0.2,0.1,1,0.7,0.021,42
20,0.2,0.1,2,0.7,0.02,40
20,0.2,0.1,3,0.7,0.007,14
20,0.2,0.1,4,0.7,0.061,122
20,0.2,0.1,5,0.7,0.037,74
20,0.2,0.1,6,0.7,0.032,64
20,0.2,0.1,7,0.7,0.128,256
20,0.2,0.1,8,0.7,0.0455,91
20,0.2,0.1,9,0.7,5E-04,1
20,0.2,0.1,10,0.7,0.0615,123
20,0.1,0.1,1,0.5,0.0425,85
20,0.1,0.1,2,0.5,0,0
20,0.1,0.1,3,0.5,0.0025,5
20,0.1,0.1,4,0.5,0.0025,5
20,0.1,0.1,5,0.5,0,0
20,0.1,0.1,6,0.5,0.051,102
20,0.1,0.1,7,0.5,0.004,8
20,0.1,0.1,8,0.5,5E-04,1
20,0.1,0.1,9,0.5,0.001,2
20,0.1,0.1,10,0.5,0.002,4
20,0.1,0.1,1,0.6,0.002,4
20,0.1,0.1,2,0.6,0.0035,7
20,0.1,0.1,3,0.6,0.0135,27
20,0.1,0.1,4,0.6,0.0305,61
20,0.1,0.1,5,0.6,0.0465,93
20,0.1,0.1,6,0.6,0.0065,13
20,0.1,0.1,7,0.6,0.003,6
20,0.1,0.1,8,0.6,0.082,164
20,0.1,0.1,9,0.6,0.0265,53
20,0.1,0.1,10,0.6,0,0
20,0.1,0.1,1,0.7,0.0775,155
20,0.1,0.1,2,0.7,0.0085,17
20,0.1,0.1,3,0.7,0.1775,355
20,0.1,0.1,4,0.7,0.0245,49
20,0.1,0.1,5,0.7,0.038,76
20,0.1,0.1,6,0.7,0.029,58
20,0.1,0.1,7,0.7,0.1245,249
20,0.1,0.1,8,0.7,0.0595,119
20,0.1,0.1,9,0.7,0.2185,437
20,0.1,0.1,10,0.7,0.1625,325
20,0.05,0.1,1,0.5,0.0115,23
20,0.05,0.1,2,0.5,0.002,4
20,0.05,0.1,3,0.5,0.01,20
20,0.05,0.1,4,0.5,0.092,184
20,0.05,0.1,5,0.5,0.096,192
20,0.05,0.1,6,0.5,0.0085,17
20,0.05,0.1,7,0.5,0.0025,5
20,0.05,0.1,8,0.5,0.089,178
20,0.05,0.1,9,0.5,0.006,12
20,0.05,0.1,10,0.5,0.0055,11
20,0.05,0.1,1,0.6,0.139,278
20,0.05,0.1,2,0.6,0.291,582
20,0.05,0.1,3,0.6,0.1125,225
20,0.05,0.1,4,0.6,0.1025,205
20,0.05,0.1,5,0.6,0.001,2
20,0.05,0.1,6,0.6,0.0685,137
20,0.05,0.1,7,0.6,0.156,312
20,0.05,0.1,8,0.6,0.3935,787
20,0.05,0.1,9,0.6,0.0615,123
20,0.05,0.1,10,0.6,0.0225,45
20,0.05,0.1,1,0.7,0.1015,203
20,0.05,0.1,2,0.7,0.6495,1299
20,0.05,0.1,3,0.7,0.0865,173
20,0.05,0.1,4,0.7,0.133,266
20,0.05,0.1,5,0.7,0.286,572
20,0.05,0.1,6,0.7,0.116,232
20,0.05,0.1,7,0.7,0.075,150
20,0.05,0.1,8,0.7,0.0655,131
20,0.05,0.1,9,0.7,0.084,168
20,0.05,0.1,10,0.7,0.177,354
20,0.4,0.1,1,0.5,0,0
20,0.4,0.1,2,0.5,5E-04,1
20,0.4,0.1,3,0.5,0.001,2
20,0.4,0.1,4,0.5,0.0035,7
20,0.4,0.1,5,0.5,0.0065,13
20,0.4,0.1,6,0.5,0,0
20,0.4,0.1,7,0.5,5E-04,1
20,0.4,0.1,8,0.5,0,0
20,0.4,0.1,9,0.5,0.011,22
20,0.4,0.1,10,0.5,5E-04,1
20,0.4,0.1,1,0.6,0.004,8
20,0.4,0.1,2,0.6,0.026,52
20,0.4,0.1,3,0.6,0,0
20,0.4,0.1,4,0.6,0.004,8
20,0.4,0.1,5,0.6,0.001,2
20,0.4,0.1,6,0.6,0,0
20,0.4,0.1,7,0.6,0.007,14
20,0.4,0.1,8,0.6,0.0125,25
20,0.4,0.1,9,0.6,0,0
20,0.4,0.1,10,0.6,0.018,36
20,0.4,0.1,1,0.7,0.0575,115
20,0.4,0.1,2,0.7,0.0275,55
20,0.4,0.1,3,0.7,0.016,32
20,0.4,0.1,4,0.7,0.057,114
20,0.4,0.1,5,0.7,0.0315,63
20,0.4,0.1,6,0.7,0.087,174
20,0.4,0.1,7,0.7,0.032,64
20,0.4,0.1,8,0.7,0.0205,41
20,0.4,0.1,9,0.7,0.062,124
20,0.4,0.1,10,0.7,0.0365,73
20,0.3,0.1,1,0.5,0,0
20,0.3,0.1,2,0.5,0,0
20,0.3,0.1,3,0.5,0,0
20,0.3,0.1,4,0.5,5E-04,1
20,0.3,0.1,5,0.5,0,0
20,0.3,0.1,6,0.5,0,0
20,0.3,0.1,7,0.5,0.002,4
20,0.3,0.1,8,0.5,0,0
20,0.3,0.1,9,0.5,0,0
20,0.3,0.1,10,0.5,0,0
20,0.3,0.1,1,0.6,5E-04,1
20,0.3,0.1,2,0.6,5E-04,1
20,0.3,0.1,3,0.6,0.0025,5
20,0.3,0.1,4,0.6,0.0055,11
20,0.3,0.1,5,0.6,0.0095,19
20,0.3,0.1,6,0.6,0.008,16
20,0.3,0.1,7,0.6,0.027,54
20,0.3,0.1,8,0.6,0.005,10
20,0.3,0.1,9,0.6,0.005,10
20,0.3,0.1,10,0.6,0.0035,7
20,0.3,0.1,1,0.7,0.0015,3
20,0.3,0.1,2,0.7,0.0585,117
20,0.3,0.1,3,0.7,0.046,92
20,0.3,0.1,4,0.7,0,0
20,0.3,0.1,5,0.7,0.036,72
20,0.3,0.1,6,0.7,0.014,28
20,0.3,0.1,7,0.7,0.028,56
20,0.3,0.1,8,0.7,0.0125,25
20,0.3,0.1,9,0.7,0,0
20,0.3,0.1,10,0.7,0.0405,81
20,0.2,0.1,1,0.5,0,0
20,0.2,0.1,2,0.5,0,0
20,0.2,0.1,3,0.5,0.001,2
20,0.2,0.1,4,0.5,5E-04,1
20,0.2,0.1,5,0.5,0,0
20,0.2,0.1,6,0.5,0,0
20,0.2,0.1,7,0.5,0,0
20,0.2,0.1,8,0.5,0,0
20,0.2,0.1,9,0.5,0,0
20,0.2,0.1,10,0.5,0,0
20,0.2,0.1,1,0.6,0,0
20,0.2,0.1,2,0.6,0,0
20,0.2,0.1,3,0.6,0,0
20,0.2,0.1,4,0.6,0,0
20,0.2,0.1,5,0.6,0,0
20,0.2,0.1,6,0.6,0,0
20,0.2,0.1,7,0.6,0,0
20,0.2,0.1,8,0.6,0,0
20,0.2,0.1,9,0.6,0,0
20,0.2,0.1,10,0.6,5E-04,1
20,0.2,0.1,1,0.7,0.0325,65
20,0.2,0.1,2,0.7,0.0235,47
20,0.2,0.1,3,0.7,0,0
20,0.2,0.1,4,0.7,0.0695,139
20,0.2,0.1,5,0.7,0.0015,3
20,0.2,0.1,6,0.7,0.038,76
20,0.2,0.1,7,0.7,0.0125,25
20,0.2,0.1,8,0.7,0.091,182
20,0.2,0.1,9,0.7,0,0
20,0.2,0.1,10,0.7,0.035,70
20,0.1,0.1,1,0.5,0.001,2
20,0.1,0.1,2,0.5,0.0255,51
20,0.1,0.1,3,0.5,0,0
20,0.1,0.1,4,0.5,0,0
20,0.1,0.1,5,0.5,0,0
20,0.1,0.1,6,0.5,5E-04,1
20,0.1,0.1,7,0.5,0,0
20,0.1,0.1,8,0.5,0.0205,41
20,0.1,0.1,9,0.5,0.1305,261
20,0.1,0.1,10,0.5,0,0
20,0.1,0.1,1,0.6,0.052,104
20,0.1,0.1,2,0.6,0.002,4
20,0.1,0.1,3,0.6,0.0305,61
20,0.1,0.1,4,0.6,0.0065,13
20,0.1,0.1,5,0.6,0,0
20,0.1,0.1,6,0.6,0.002,4
20,0.1,0.1,7,0.6,0,0
20,0.1,0.1,8,0.6,0.0015,3
20,0.1,0.1,9,0.6,0.0085,17
20,0.1,0.1,10,0.6,0.069,138
20,0.1,0.1,1,0.7,0.2915,583
20,0.1,0.1,2,0.7,0.001,2
20,0.1,0.1,3,0.7,0.052,104
20,0.1,0.1,4,0.7,0.032,64
20,0.1,0.1,5,0.7,0.0155,31
20,0.1,0.1,6,0.7,0.0525,105
20,0.1,0.1,7,0.7,0.0435,87
20,0.1,0.1,8,0.7,0.0455,91
20,0.1,0.1,9,0.7,0.059,118
20,0.1,0.1,10,0.7,0.0375,75
20,0.05,0.1,1,0.5,0.006,12
20,0.05,0.1,2,0.5,0.0135,27
20,0.05,0.1,3,0.5,0.0095,19
20,0.05,0.1,4,0.5,0.007,14
20,0.05,0.1,5,0.5,0.0095,19
20,0.05,0.1,6,0.5,0.173,346
20,0.05,0.1,7,0.5,0.0735,147
20,0.05,0.1,8,0.5,0.02,40
20,0.05,0.1,9,0.5,0.0565,113
20,0.05,0.1,10,0.5,0.0045,9
20,0.05,0.1,1,0.6,0.029,58
20,0.05,0.1,2,0.6,0,0
20,0.05,0.1,3,0.6,0.013,26
20,0.05,0.1,4,0.6,0.045,90
20,0.05,0.1,5,0.6,0.0695,139
20,0.05,0.1,6,0.6,0.0135,27
20,0.05,0.1,7,0.6,0.105,210
20,0.05,0.1,8,0.6,0.455,910
20,0.05,0.1,9,0.6,0.0355,71
20,0.05,0.1,10,0.6,0.0075,15
20,0.05,0.1,1,0.7,0.5285,1057
20,0.05,0.1,2,0.7,0.11,220
20,0.05,0.1,3,0.7,0.0835,167
20,0.05,0.1,4,0.7,0.0425,85
20,0.05,0.1,5,0.7,0.2065,413
20,0.05,0.1,6,0.7,0.094,188
20,0.05,0.1,7,0.7,0.403,806
20,0.05,0.1,8,0.7,0.15,300
20,0.05,0.1,9,0.7,0.1725,345
20,0.05,0.1,10,0.7,0.036,72
20,0.025,0.1,1,0.5,0.183,366
20,0.025,0.1,2,0.5,0.012,24
20,0.025,0.1,3,0.5,0.0675,135
20,0.025,0.1,4,0.5,0.009,18
20,0.025,0.1,5,0.5,0.305,610
20,0.025,0.1,6,0.5,0.802,1604
20,0.025,0.1,7,0.5,0.04,80
20,0.025,0.1,8,0.5,0.2295,459
20,0.025,0.1,9,0.5,0.0425,85
20,0.025,0.1,10,0.5,0.746,1492
20,0.025,0.1,1,0.6,0.081,162
20,0.025,0.1,2,0.6,0.083,166
20,0.025,0.1,3,0.6,0.0255,51
20,0.025,0.1,4,0.6,0.736,1472
20,0.025,0.1,5,0.6,0.7325,1465
20,0.025,0.1,6,0.6,0.1185,237
20,0.025,0.1,7,0.6,0.0725,145
20,0.025,0.1,8,0.6,0.771,1542
20,0.025,0.1,9,0.6,0.0515,103
20,0.025,0.1,10,0.6,0.1265,253
20,0.025,0.1,1,0.7,0.1385,277
