n,changeprop_mean,changeprop_sd,repetition,proportion_before,proportion_estimates_below_zero,count_estimates_below_zero
20,0.025,0.1,2,0.7,0.0945,189
20,0.025,0.1,3,0.7,0.093,186
20,0.025,0.1,4,0.7,0.2665,533
20,0.025,0.1,5,0.7,0.0475,95
20,0.025,0.1,6,0.7,0.266,532
20,0.025,0.1,7,0.7,0.274,548
20,0.025,0.1,8,0.7,0.18,360
20,0.025,0.1,9,0.7,0.1565,313
20,0.025,0.1,10,0.7,0.145,290
30,0.4,0.1,1,0.5,0,0
30,0.4,0.1,2,0.5,0,0
30,0.4,0.1,3,0.5,0,0
30,0.4,0.1,4,0.5,0,0
30,0.4,0.1,5,0.5,0,0
30,0.4,0.1,6,0.5,0,0
30,0.4,0.1,7,0.5,0,0
30,0.4,0.1,8,0.5,0,0
30,0.4,0.1,9,0.5,5E-04,1
30,0.4,0.1,10,0.5,0,0
30,0.4,0.1,1,0.6,0,0
30,0.4,0.1,2,0.6,5E-04,1
30,0.4,0.1,3,0.6,0,0
30,0.4,0.1,4,0.6,0.0025,5
30,0.4,0.1,5,0.6,0.001,2
30,0.4,0.1,6,0.6,0,0
30,0.4,0.1,7,0.6,0.002,4
30,0.4,0.1,8,0.6,0,0
30,0.4,0.1,9,0.6,0,0
30,0.4,0.1,10,0.6,5E-04,1
30,0.4,0.1,1,0.7,0.0045,9
30,0.4,0.1,2,0.7,0.021,42
30,0.4,0.1,3,0.7,0.003,6
30,0.4,0.1,4,0.7,0.006,12
30,0.4,0.1,5,0.7,0.011,22
30,0.4,0.1,6,0.7,0,0
30,0.4,0.1,7,0.7,0.0185,37
30,0.4,0.1,8,0.7,0.0085,17
30,0.4,0.1,9,0.7,0.01,20
30,0.4,0.1,10,0.7,0.0155,31
30,0.3,0.1,1,0.5,0,0
30,0.3,0.1,2,0.5,0,0
30,0.3,0.1,3,0.5,0,0
30,0.3,0.1,4,0.5,0,0
30,0.3,0.1,5,0.5,0,0
30,0.3,0.1,6,0.5,0,0
30,0.3,0.1,7,0.5,0,0
30,0.3,0.1,8,0.5,0,0
30,0.3,0.1,9,0.5,0,0
30,0.3,0.1,10,0.5,0,0
30,0.3,0.1,1,0.6,0,0
30,0.3,0.1,2,0.6,0.0015,3
30,0.3,0.1,3,0.6,0,0
30,0.3,0.1,4,0.6,5E-04,1
30,0.3,0.1,5,0.6,0,0
30,0.3,0.1,6,0.6,0,0
30,0.3,0.1,7,0.6,0,0
30,0.3,0.1,8,0.6,0,0
30,0.3,0.1,9,0.6,0,0
30,0.3,0.1,10,0.6,5E-04,1
30,0.3,0.1,1,0.7,0.012,24
30,0.3,0.1,2,0.7,0.003,6
30,0.3,0.1,3,0.7,5E-04,1
30,0.3,0.1,4,0.7,5E-04,1
30,0.3,0.1,5,0.7,0,0
30,0.3,0.1,6,0.7,0.001,2
30,0.3,0.1,7,0.7,0.0175,35
30,0.3,0.1,8,0.7,0,0
30,0.3,0.1,9,0.7,0.0025,5
30,0.3,0.1,10,0.7,0,0
30,0.2,0.1,1,0.5,0,0
30,0.2,0.1,2,0.5,0,0
30,0.2,0.1,3,0.5,0,0
30,0.2,0.1,4,0.5,5E-04,1
30,0.2,0.1,5,0.5,0,0
30,0.2,0.1,6,0.5,0,0
30,0.2,0.1,7,0.5,0,0
30,0.2,0.1,8,0.5,0,0
30,0.2,0.1,9,0.5,0,0
30,0.2,0.1,10,0.5,0,0
30,0.2,0.1,1,0.6,0,0
30,0.2,0.1,2,0.6,0,0
30,0.2,0.1,3,0.6,0,0
30,0.2,0.1,4,0.6,0.001,2
30,0.2,0.1,5,0.6,0,0
30,0.2,0.1,6,0.6,5E-04,1
30,0.2,0.1,7,0.6,0,0
30,0.2,0.1,8,0.6,0,0
30,0.2,0.1,9,0.6,0.0025,5
30,0.2,0.1,10,0.6,0,0
30,0.2,0.1,1,0.7,0.0015,3
30,0.2,0.1,2,0.7,0.006,12
30,0.2,0.1,3,0.7,0.0095,19
30,0.2,0.1,4,0.7,0.023,46
30,0.2,0.1,5,0.7,0,0
30,0.2,0.1,6,0.7,0.0125,25
30,0.2,0.1,7,0.7,0.0125,25
30,0.2,0.1,8,0.7,5E-04,1
30,0.2,0.1,9,0.7,0.0115,23
30,0.2,0.1,10,0.7,0.015,30
30,0.1,0.1,1,0.5,0,0
30,0.1,0.1,2,0.5,0,0
30,0.1,0.1,3,0.5,0,0
30,0.1,0.1,4,0.5,0,0
30,0.1,0.1,5,0.5,0,0
30,0.1,0.1,6,0.5,0,0
30,0.1,0.1,7,0.5,0,0
30,0.1,0.1,8,0.5,0,0
30,0.1,0.1,9,0.5,0,0
30,0.1,0.1,10,0.5,0,0
30,0.1,0.1,1,0.6,0,0
30,0.1,0.1,2,0.6,0.0045,9
30,0.1,0.1,3,0.6,0.0045,9
30,0.1,0.1,4,0.6,0.001,2
30,0.1,0.1,5,0.6,0,0
30,0.1,0.1,6,0.6,0.0095,19
30,0.1,0.1,7,0.6,0.0025,5
30,0.1,0.1,8,0.6,0,0
30,0.1,0.1,9,0.6,5E-04,1
30,0.1,0.1,10,0.6,0.0115,23
30,0.1,0.1,1,0.7,0.0145,29
30,0.1,0.1,2,0.7,0,0
30,0.1,0.1,3,0.7,0.0265,53
30,0.1,0.1,4,0.7,0.0155,31
30,0.1,0.1,5,0.7,0.0025,5
30,0.1,0.1,6,0.7,0.7045,1409
30,0.1,0.1,7,0.7,0.0475,95
30,0.1,0.1,8,0.7,0.032,64
30,0.1,0.1,9,0.7,0.0185,37
30,0.1,0.1,10,0.7,0.014,28
30,0.05,0.1,1,0.5,0.0355,71
30,0.05,0.1,2,0.5,0.0065,13
30,0.05,0.1,3,0.5,0,0
30,0.05,0.1,4,0.5,0.012,24
30,0.05,0.1,5,0.5,0.0675,135
30,0.05,0.1,6,0.5,0.009,18
30,0.05,0.1,7,0.5,0.047,94
30,0.05,0.1,8,0.5,0.0155,31
30,0.05,0.1,9,0.5,0.245,490
30,0.05,0.1,10,0.5,0.242,484
30,0.05,0.1,1,0.6,0.015,30
30,0.05,0.1,2,0.6,0.0775,155
30,0.05,0.1,3,0.6,0.001,2
30,0.05,0.1,4,0.6,0.0135,27
30,0.05,0.1,5,0.6,0.023,46
30,0.05,0.1,6,0.6,0.012,24
30,0.05,0.1,7,0.6,0.1015,203
30,0.05,0.1,8,0.6,0.021,42
30,0.05,0.1,9,0.6,0.006,12
30,0.05,0.1,10,0.6,0.015,30
30,0.05,0.1,1,0.7,0.0635,127
30,0.05,0.1,2,0.7,0.1265,253
30,0.05,0.1,3,0.7,0.0065,13
30,0.05,0.1,4,0.7,0.095,190
30,0.05,0.1,5,0.7,0.0385,77
30,0.05,0.1,6,0.7,0.4685,937
30,0.05,0.1,7,0.7,0.039,78
30,0.05,0.1,8,0.7,0.0015,3
30,0.05,0.1,9,0.7,0.2165,433
30,0.05,0.1,10,0.7,0.822,1644
30,0.025,0.1,1,0.5,0.0455,91
30,0.025,0.1,2,0.5,0.273,546
30,0.025,0.1,3,0.5,0.844,1688
30,0.025,0.1,4,0.5,0.1355,271
30,0.025,0.1,5,0.5,0.2175,435
30,0.025,0.1,6,0.5,0.0425,85
30,0.025,0.1,7,0.5,0.1315,263
30,0.025,0.1,8,0.5,0.0055,11
30,0.025,0.1,9,0.5,0.0105,21
30,0.025,0.1,10,0.5,0.156,312
30,0.025,0.1,1,0.6,0.32,640
30,0.025,0.1,2,0.6,0.3405,681
30,0.025,0.1,3,0.6,0.192,384
30,0.025,0.1,4,0.6,0.2245,449
30,0.025,0.1,5,0.6,0.7795,1559
30,0.025,0.1,6,0.6,0.324,648
30,0.025,0.1,7,0.6,0.011,22
30,0.025,0.1,8,0.6,0.5455,1091
30,0.025,0.1,9,0.6,0.1395,279
30,0.025,0.1,10,0.6,0.38,760
30,0.025,0.1,1,0.7,0.1495,299
30,0.025,0.1,2,0.7,0.097,194
30,0.025,0.1,3,0.7,0.245,490
30,0.025,0.1,4,0.7,0.054,108
30,0.025,0.1,5,0.7,0.347,694
30,0.025,0.1,6,0.7,0.1145,229
30,0.025,0.1,7,0.7,0.5965,1193
30,0.025,0.1,8,0.7,0.1695,339
30,0.025,0.1,9,0.7,0.1985,397
30,0.025,0.1,10,0.7,0.179,358
40,0.4,0.1,1,0.5,0,0
40,0.4,0.1,2,0.5,0,0
40,0.4,0.1,3,0.5,0,0
40,0.4,0.1,4,0.5,0,0
40,0.4,0.1,5,0.5,0,0
40,0.4,0.1,6,0.5,0,0
40,0.4,0.1,7,0.5,0,0
40,0.4,0.1,8,0.5,0,0
40,0.4,0.1,9,0.5,0,0
40,0.4,0.1,10,0.5,0,0
40,0.4,0.1,1,0.6,0,0
40,0.4,0.1,2,0.6,0,0
40,0.4,0.1,3,0.6,0,0
40,0.4,0.1,4,0.6,0,0
40,0.4,0.1,5,0.6,0,0
40,0.4,0.1,6,0.6,0,0
40,0.4,0.1,7,0.6,0,0
40,0.4,0.1,8,0.6,0,0
40,0.4,0.1,9,0.6,0,0
40,0.4,0.1,10,0.6,0,0
40,0.4,0.1,1,0.7,5E-04,1
40,0.4,0.1,2,0.7,0.011,22
40,0.4,0.1,3,0.7,0.0015,3
40,0.4,0.1,4,0.7,0,0
40,0.4,0.1,5,0.7,0,0
40,0.4,0.1,6,0.7,0.004,8
40,0.4,0.1,7,0.7,5E-04,1
40,0.4,0.1,8,0.7,0.001,2
40,0.4,0.1,9,0.7,0.001,2
40,0.4,0.1,10,0.7,0.0015,3
40,0.3,0.1,1,0.5,0,0
40,0.3,0.1,2,0.5,0,0
40,0.3,0.1,3,0.5,0,0
40,0.3,0.1,4,0.5,0,0
40,0.3,0.1,5,0.5,0,0
40,0.3,0.1,6,0.5,0,0
40,0.3,0.1,7,0.5,0,0
40,0.3,0.1,8,0.5,0,0
40,0.3,0.1,9,0.5,0,0
40,0.3,0.1,10,0.5,0,0
40,0.3,0.1,1,0.6,0,0
40,0.3,0.1,2,0.6,0,0
40,0.3,0.1,3,0.6,0,0
40,0.3,0.1,4,0.6,0,0
40,0.3,0.1,5,0.6,0,0
40,0.3,0.1,6,0.6,0,0
40,0.3,0.1,7,0.6,0,0
40,0.3,0.1,8,0.6,0,0
40,0.3,0.1,9,0.6,0,0
40,0.3,0.1,10,0.6,0,0
40,0.3,0.1,1,0.7,0,0
40,0.3,0.1,2,0.7,0.001,2
40,0.3,0.1,3,0.7,0,0
40,0.3,0.1,4,0.7,0,0
40,0.3,0.1,5,0.7,0,0
40,0.3,0.1,6,0.7,5E-04,1
40,0.3,0.1,7,0.7,0,0
40,0.3,0.1,8,0.7,0,0
40,0.3,0.1,9,0.7,0,0
40,0.3,0.1,10,0.7,0,0
40,0.2,0.1,1,0.5,0,0
40,0.2,0.1,2,0.5,0,0
40,0.2,0.1,3,0.5,0,0
40,0.2,0.1,4,0.5,0,0
40,0.2,0.1,5,0.5,0,0
40,0.2,0.1,6,0.5,0,0
40,0.2,0.1,7,0.5,0,0
40,0.2,0.1,8,0.5,0,0
40,0.2,0.1,9,0.5,0,0
40,0.2,0.1,10,0.5,0,0
40,0.2,0.1,1,0.6,0,0
40,0.2,0.1,2,0.6,0,0
40,0.2,0.1,3,0.6,0,0
40,0.2,0.1,4,0.6,0,0
40,0.2,0.1,5,0.6,0,0
40,0.2,0.1,6,0.6,0,0
40,0.2,0.1,7,0.6,0,0
40,0.2,0.1,8,0.6,0,0
40,0.2,0.1,9,0.6,0,0
40,0.2,0.1,10,0.6,0,0
40,0.2,0.1,1,0.7,0.001,2
40,0.2,0.1,2,0.7,0.0025,5
40,0.2,0.1,3,0.7,0,0
40,0.2,0.1,4,0.7,0,0
40,0.2,0.1,5,0.7,0,0
40,0.2,0.1,6,0.7,0,0
40,0.2,0.1,7,0.7,0.0035,7
40,0.2,0.1,8,0.7,0.0025,5
40,0.2,0.1,9,0.7,0,0
40,0.2,0.1,10,0.7,0.0025,5
40,0.1,0.1,1,0.5,0,0
40,0.1,0.1,2,0.5,0,0
40,0.1,0.1,3,0.5,0,0
40,0.1,0.1,4,0.5,0,0
40,0.1,0.1,5,0.5,0.002,4
40,0.1,0.1,6,0.5,0,0
40,0.1,0.1,7,0.5,0,0
40,0.1,0.1,8,0.5,0,0
40,0.1,0.1,9,0.5,0,0
40,0.1,0.1,10,0.5,0,0
40,0.1,0.1,1,0.6,5E-04,1
40,0.1,0.1,2,0.6,0,0
40,0.1,0.1,3,0.6,5E-04,1
40,0.1,0.1,4,0.6,0.001,2
40,0.1,0.1,5,0.6,0,0
40,0.1,0.1,6,0.6,0,0
40,0.1,0.1,7,0.6,0,0
40,0.1,0.1,8,0.6,0,0
40,0.1,0.1,9,0.6,0,0
40,0.1,0.1,10,0.6,0.0095,19
40,0.1,0.1,1,0.7,0.0085,17
40,0.1,0.1,2,0.7,0.004,8
40,0.1,0.1,3,0.7,0.007,14
40,0.1,0.1,4,0.7,0.001,2
40,0.1,0.1,5,0.7,0.0945,189
40,0.1,0.1,6,0.7,0,0
40,0.1,0.1,7,0.7,0.001,2
40,0.1,0.1,8,0.7,0.008,16
40,0.1,0.1,9,0.7,0.006,12
40,0.1,0.1,10,0.7,0.032,64
40,0.05,0.1,1,0.5,0.002,4
40,0.05,0.1,2,0.5,0.1785,357
40,0.05,0.1,3,0.5,0,0
40,0.05,0.1,4,0.5,0.031,62
40,0.05,0.1,5,0.5,0.002,4
40,0.05,0.1,6,0.5,0.001,2
40,0.05,0.1,7,0.5,0.0605,121
40,0.05,0.1,8,0.5,0.001,2
40,0.05,0.1,9,0.5,0.047,94
40,0.05,0.1,10,0.5,5E-04,1
40,0.05,0.1,1,0.6,0.0565,113
40,0.05,0.1,2,0.6,0.0375,75
40,0.05,0.1,3,0.6,5E-04,1
40,0.05,0.1,4,0.6,0.143,286
40,0.05,0.1,5,0.6,0.0135,27
40,0.05,0.1,6,0.6,0.1565,313
40,0.05,0.1,7,0.6,0,0
40,0.05,0.1,8,0.6,0.023,46
40,0.05,0.1,9,0.6,0.1135,227
40,0.05,0.1,10,0.6,0.0505,101
40,0.05,0.1,1,0.7,0.019,38
40,0.05,0.1,2,0.7,0.116,232
40,0.05,0.1,3,0.7,0.069,138
40,0.05,0.1,4,0.7,0.0015,3
40,0.05,0.1,5,0.7,0.025,50
40,0.05,0.1,6,0.7,0.007,14
40,0.05,0.1,7,0.7,0.1445,289
40,0.05,0.1,8,0.7,0.023,46
40,0.05,0.1,9,0.7,0.0045,9
40,0.05,0.1,10,0.7,0.016,32
40,0.025,0.1,1,0.5,0.407,814
40,0.025,0.1,2,0.5,0.011,22
40,0.025,0.1,3,0.5,0.0285,57
40,0.025,0.1,4,0.5,0.1835,367
40,0.025,0.1,5,0.5,0.3975,795
40,0.025,0.1,6,0.5,0.3555,711
40,0.025,0.1,7,0.5,0.0355,71
40,0.025,0.1,8,0.5,0.04,80
40,0.025,0.1,9,0.5,0.097,194
40,0.025,0.1,10,0.5,0.108,216
40,0.025,0.1,1,0.6,0.004,8
40,0.025,0.1,2,0.6,0.0505,101
40,0.025,0.1,3,0.6,0.043,86
40,0.025,0.1,4,0.6,0.004,8
40,0.025,0.1,5,0.6,0.064,128
40,0.025,0.1,6,0.6,0.5095,1019
40,0.025,0.1,7,0.6,0.221,442
40,0.025,0.1,8,0.6,0.451,902
40,0.025,0.1,9,0.6,0.25,500
40,0.025,0.1,10,0.6,0.0145,29
40,0.025,0.1,1,0.7,0.187,374
40,0.025,0.1,2,0.7,0.035,70
40,0.025,0.1,3,0.7,0.069,138
40,0.025,0.1,4,0.7,0.005,10
40,0.025,0.1,5,0.7,0.0515,103
40,0.025,0.1,6,0.7,0.039,78
40,0.025,0.1,7,0.7,0.0095,19
40,0.025,0.1,8,0.7,0.084,168
40,0.025,0.1,9,0.7,0.0745,149
40,0.025,0.1,10,0.7,0.0225,45
60,0.4,0.1,1,0.5,0,0
60,0.4,0.1,2,0.5,0,0
60,0.4,0.1,3,0.5,0,0
60,0.4,0.1,4,0.5,0,0
60,0.4,0.1,5,0.5,0,0
60,0.4,0.1,6,0.5,0,0
60,0.4,0.1,7,0.5,0,0
60,0.4,0.1,8,0.5,0,0
60,0.4,0.1,9,0.5,0,0
60,0.4,0.1,10,0.5,0,0
60,0.4,0.1,1,0.6,0,0
60,0.4,0.1,2,0.6,0,0
60,0.4,0.1,3,0.6,0,0
60,0.4,0.1,4,0.6,0,0
60,0.4,0.1,5,0.6,0,0
60,0.4,0.1,6,0.6,0,0
60,0.4,0.1,7,0.6,0,0
60,0.4,0.1,8,0.6,0,0
60,0.4,0.1,9,0.6,0,0
60,0.4,0.1,10,0.6,0,0
60,0.4,0.1,1,0.7,0,0
60,0.4,0.1,2,0.7,0,0
60,0.4,0.1,3,0.7,0,0
60,0.4,0.1,4,0.7,0,0
60,0.4,0.1,5,0.7,0,0
60,0.4,0.1,6,0.7,0,0
60,0.4,0.1,7,0.7,0,0
60,0.4,0.1,8,0.7,0,0
60,0.4,0.1,9,0.7,0,0
60,0.4,0.1,10,0.7,0,0
60,0.3,0.1,1,0.5,0,0
60,0.3,0.1,2,0.5,0,0
60,0.3,0.1,3,0.5,0,0
60,0.3,0.1,4,0.5,0,0
60,0.3,0.1,5,0.5,0,0
60,0.3,0.1,6,0.5,0,0
60,0.3,0.1,7,0.5,0,0
60,0.3,0.1,8,0.5,0,0
60,0.3,0.1,9,0.5,0,0
60,0.3,0.1,10,0.5,0,0
60,0.3,0.1,1,0.6,0,0
60,0.3,0.1,2,0.6,0,0
60,0.3,0.1,3,0.6,0,0
60,0.3,0.1,4,0.6,0,0
60,0.3,0.1,5,0.6,0,0
60,0.3,0.1,6,0.6,0,0
60,0.3,0.1,7,0.6,0,0
60,0.3,0.1,8,0.6,0,0
60,0.3,0.1,9,0.6,0,0
60,0.3,0.1,10,0.6,0,0
60,0.3,0.1,1,0.7,0,0
60,0.3,0.1,2,0.7,0,0
60,0.3,0.1,3,0.7,0,0
60,0.3,0.1,4,0.7,0,0
60,0.3,0.1,5,0.7,0,0
60,0.3,0.1,6,0.7,0,0
60,0.3,0.1,7,0.7,0,0
60,0.3,0.1,8,0.7,0,0
60,0.3,0.1,9,0.7,0,0
60,0.3,0.1,10,0.7,0,0
60,0.2,0.1,1,0.5,0,0
60,0.2,0.1,2,0.5,0,0
60,0.2,0.1,3,0.5,0,0
60,0.2,0.1,4,0.5,0,0
60,0.2,0.1,5,0.5,0,0
60,0.2,0.1,6,0.5,0,0
60,0.2,0.1,7,0.5,0,0
60,0.2,0.1,8,0.5,0,0
60,0.2,0.1,9,0.5,0,0
60,0.2,0.1,10,0.5,0,0
60,0.2,0.1,1,0.6,0,0
60,0.2,0.1,2,0.6,0,0
60,0.2,0.1,3,0.6,0.0015,3
60,0.2,0.1,4,0.6,0,0
60,0.2,0.1,5,0.6,0,0
60,0.2,0.1,6,0.6,0,0
60,0.2,0.1,7,0.6,0,0
60,0.2,0.1,8,0.6,0,0
60,0.2,0.1,9,0.6,0,0
60,0.2,0.1,10,0.6,0,0
60,0.2,0.1,1,0.7,0,0
60,0.2,0.1,2,0.7,0,0
60,0.2,0.1,3,0.7,0.0065,13
60,0.2,0.1,4,0.7,0,0
60,0.2,0.1,5,0.7,0,0
60,0.2,0.1,6,0.7,0,0
60,0.2,0.1,7,0.7,0,0
60,0.2,0.1,8,0.7,0,0
60,0.2,0.1,9,0.7,0,0
60,0.2,0.1,10,0.7,0,0
60,0.1,0.1,1,0.5,0,0
60,0.1,0.1,2,0.5,0,0
60,0.1,0.1,3,0.5,0,0
60,0.1,0.1,4,0.5,0,0
60,0.1,0.1,5,0.5,0,0
60,0.1,0.1,6,0.5,0,0
60,0.1,0.1,7,0.5,0,0
60,0.1,0.1,8,0.5,0,0
60,0.1,0.1,9,0.5,0,0
60,0.1,0.1,10,0.5,0,0
60,0.1,0.1,1,0.6,0,0
60,0.1,0.1,2,0.6,0,0
60,0.1,0.1,3,0.6,0,0
60,0.1,0.1,4,0.6,0,0
60,0.1,0.1,5,0.6,0,0
60,0.1,0.1,6,0.6,0,0
60,0.1,0.1,7,0.6,0,0
60,0.1,0.1,8,0.6,0,0
60,0.1,0.1,9,0.6,0,0
60,0.1,0.1,10,0.6,0.001,2
60,0.1,0.1,1,0.7,0.0015,3
60,0.1,0.1,2,0.7,0.0055,11
60,0.1,0.1,3,0.7,0.0025,5
60,0.1,0.1,4,0.7,0,0
60,0.1,0.1,5,0.7,0,0
60,0.1,0.1,6,0.7,5E-04,1
60,0.1,0.1,7,0.7,0,0
60,0.1,0.1,8,0.7,0,0
60,0.1,0.1,9,0.7,0,0
60,0.1,0.1,10,0.7,0.0035,7
60,0.05,0.1,1,0.5,0,0
60,0.05,0.1,2,0.5,0.0075,15
60,0.05,0.1,3,0.5,0,0
60,0.05,0.1,4,0.5,0,0
60,0.05,0.1,5,0.5,0,0
60,0.05,0.1,6,0.5,0.011,22
60,0.05,0.1,7,0.5,0,0
60,0.05,0.1,8,0.5,0,0
60,0.05,0.1,9,0.5,0,0
60,0.05,0.1,10,0.5,5E-04,1
60,0.05,0.1,1,0.6,0,0
60,0.05,0.1,2,0.6,0,0
60,0.05,0.1,3,0.6,0,0
60,0.05,0.1,4,0.6,5E-04,1
60,0.05,0.1,5,0.6,0.004,8
60,0.05,0.1,6,0.6,0,0
60,0.05,0.1,7,0.6,0.0155,31
60,0.05,0.1,8,0.6,5E-04,1
60,0.05,0.1,9,0.6,0.1265,253
60,0.05,0.1,10,0.6,0.038,76
60,0.05,0.1,1,0.7,0.0095,19
60,0.05,0.1,2,0.7,0.0585,117
60,0.05,0.1,3,0.7,0,0
60,0.05,0.1,4,0.7,0.009,18
60,0.05,0.1,5,0.7,0.337,674
60,0.05,0.1,6,0.7,0.005,10
60,0.05,0.1,7,0.7,0.038,76
60,0.05,0.1,8,0.7,0.0015,3
60,0.05,0.1,9,0.7,0.0035,7
60,0.05,0.1,10,0.7,0.1005,201
60,0.025,0.1,1,0.5,0.1105,221
60,0.025,0.1,2,0.5,0.043,86
60,0.025,0.1,3,0.5,0.1395,279
60,0.025,0.1,4,0.5,0.488,976
60,0.025,0.1,5,0.5,0.072,144
60,0.025,0.1,6,0.5,0.0075,15
60,0.025,0.1,7,0.5,0.2765,553
60,0.025,0.1,8,0.5,0.033,66
60,0.025,0.1,9,0.5,0.618,1236
60,0.025,0.1,10,0.5,0.0235,47
60,0.025,0.1,1,0.6,0.141,282
60,0.025,0.1,2,0.6,0.0045,9
60,0.025,0.1,3,0.6,0.056,112
60,0.025,0.1,4,0.6,0.013,26
60,0.025,0.1,5,0.6,0.0245,49
60,0.025,0.1,6,0.6,0.025,50
60,0.025,0.1,7,0.6,0.01,20
60,0.025,0.1,8,0.6,0,0
60,0.025,0.1,9,0.6,0.035,70
60,0.025,0.1,10,0.6,0.0185,37
60,0.025,0.1,1,0.7,0.1275,255
60,0.025,0.1,2,0.7,0.0655,131
60,0.025,0.1,3,0.7,0.0635,127
60,0.025,0.1,4,0.7,0.3105,621
60,0.025,0.1,5,0.7,0.0175,35
60,0.025,0.1,6,0.7,0.0565,113
60,0.025,0.1,7,0.7,0.0155,31
60,0.025,0.1,8,0.7,0.0305,61
60,0.025,0.1,9,0.7,0.0305,61
60,0.025,0.1,10,0.7,0.0505,101