n,changeprob_mean,repetition,proportion_inside,proportion_estimates_below_zero,count_estimates_below_zero
10,0.3,1,0.5,0.2095,419
10,0.3,2,0.5,0.6595,1319
10,0.3,3,0.5,0.4785,957
10,0.3,4,0.5,0.227,454
10,0.3,5,0.5,0.195,390
10,0.3,6,0.5,0.471,942
10,0.3,7,0.5,0.184,368
10,0.3,8,0.5,0.181,362
10,0.3,9,0.5,0.338,676
10,0.3,10,0.5,0.2125,425
10,0.3,1,0.6,0.3475,695
10,0.3,2,0.6,0.207,414
10,0.3,3,0.6,0.1105,221
10,0.3,4,0.6,0.192,384
10,0.3,5,0.6,0.203,406
10,0.3,6,0.6,0.3175,635
10,0.3,7,0.6,0.624,1248
10,0.3,8,0.6,0.311,622
10,0.3,9,0.6,0.1065,213
10,0.3,10,0.6,0.0875,175
10,0.3,1,0.7,0.5065,1013
10,0.3,2,0.7,0.1275,255
10,0.3,3,0.7,0.311,622
10,0.3,4,0.7,0.2155,431
10,0.3,5,0.7,0.3195,639
10,0.3,6,0.7,0.0885,177
10,0.3,7,0.7,0.1835,367
10,0.3,8,0.7,0.196,392
10,0.3,9,0.7,0.5075,1015
10,0.3,10,0.7,0.5055,1011
10,0.2,1,0.5,0.2395,479
10,0.2,2,0.5,0.0535,107
10,0.2,3,0.5,0.1835,367
10,0.2,4,0.5,0.769,1538
10,0.2,5,0.5,0.2935,587
10,0.2,6,0.5,0.3495,699
10,0.2,7,0.5,0.2345,469
10,0.2,8,0.5,0.113,226
10,0.2,9,0.5,0.6745,1349
10,0.2,10,0.5,0.4965,993
10,0.2,1,0.6,0.102,204
10,0.2,2,0.6,0.1805,361
10,0.2,3,0.6,0.1925,385
10,0.2,4,0.6,0.816,1632
10,0.2,5,0.6,0.17,340
10,0.2,6,0.6,0.5035,1007
10,0.2,7,0.6,0.333,666
10,0.2,8,0.6,0.3145,629
10,0.2,9,0.6,0.3025,605
10,0.2,10,0.6,0.346,692
10,0.2,1,0.7,0.1975,395
10,0.2,2,0.7,0.3295,659
10,0.2,3,0.7,0.322,644
10,0.2,4,0.7,0.322,644
10,0.2,5,0.7,0.3235,647
10,0.2,6,0.7,0.0905,181
10,0.2,7,0.7,0.1665,333
10,0.2,8,0.7,0.503,1006
10,0.2,9,0.7,0.196,392
10,0.2,10,0.7,0.3145,629
10,0.1,1,0.5,0.702,1404
10,0.1,2,0.5,0.201,402
10,0.1,3,0.5,0.337,674
10,0.1,4,0.5,0.493,986
10,0.1,5,0.5,0.8245,1649
10,0.1,6,0.5,0.773,1546
10,0.1,7,0.5,0.678,1356
10,0.1,8,0.5,0.0395,79
10,0.1,9,0.5,0.659,1318
10,0.1,10,0.5,0.5305,1061
10,0.1,1,0.6,0.3255,651
10,0.1,2,0.6,0.486,972
10,0.1,3,0.6,0.103,206
10,0.1,4,0.6,0.5235,1047
10,0.1,5,0.6,0.524,1048
10,0.1,6,0.6,0.387,774
10,0.1,7,0.6,0.3265,653
10,0.1,8,0.6,0.4765,953
10,0.1,9,0.6,0.8115,1623
10,0.1,10,0.6,0.341,682
10,0.1,1,0.7,0.327,654
10,0.1,2,0.7,0.3485,697
10,0.1,3,0.7,0.087,174
10,0.1,4,0.7,0.498,996
10,0.1,5,0.7,0.348,696
10,0.1,6,0.7,0.5025,1005
10,0.1,7,0.7,0.115,230
10,0.1,8,0.7,0.339,678
10,0.1,9,0.7,0.689,1378
10,0.1,10,0.7,0.3125,625
10,0.05,1,0.5,0.5015,1003
10,0.05,2,0.5,0.339,678
10,0.05,3,0.5,0.781,1562
10,0.05,4,0.5,0.486,972
10,0.05,5,0.5,0.221,442
10,0.05,6,0.5,0.201,402
10,0.05,7,0.5,0.207,414
10,0.05,8,0.5,0.2235,447
10,0.05,9,0.5,0.214,428
10,0.05,10,0.5,0.3105,621
10,0.05,1,0.6,0.498,996
10,0.05,2,0.6,0.334,668
10,0.05,3,0.6,0.5215,1043
10,0.05,4,0.6,0.684,1368
10,0.05,5,0.6,0.519,1038
10,0.05,6,0.6,0.651,1302
10,0.05,7,0.6,0.1145,229
10,0.05,8,0.6,0.7775,1555
10,0.05,9,0.6,0.381,762
10,0.05,10,0.6,0.32,640
10,0.05,1,0.7,0.8035,1607
10,0.05,2,0.7,0.5,1000
10,0.05,3,0.7,0.36,720
10,0.05,4,0.7,0.529,1058
10,0.05,5,0.7,0.898,1796
10,0.05,6,0.7,0.3245,649
10,0.05,7,0.7,0.333,666
10,0.05,8,0.7,0.504,1008
10,0.05,9,0.7,0.5085,1017
10,0.05,10,0.7,0.504,1008
10,0.025,1,0.5,0.504,1008
10,0.025,2,0.5,0.3275,655
10,0.025,3,0.5,0.124,248
10,0.025,4,0.5,0.3585,717
10,0.025,5,0.5,0.324,648
10,0.025,6,0.5,0.8585,1717
10,0.025,7,0.5,0.235,470
10,0.025,8,0.5,0.4935,987
10,0.025,9,0.5,0.356,712
10,0.025,10,0.5,0.641,1282
10,0.025,1,0.6,0.349,698
10,0.025,2,0.6,0.6295,1259
10,0.025,3,0.6,0.646,1292
10,0.025,4,0.6,0.4965,993
10,0.025,5,0.6,0.684,1368
10,0.025,6,0.6,0.768,1536
10,0.025,7,0.6,0.4725,945
10,0.025,8,0.6,0.35,700
10,0.025,9,0.6,0.6595,1319
10,0.025,10,0.6,0.549,1098
10,0.025,1,0.7,0.6675,1335
10,0.025,2,0.7,0.786,1572
10,0.025,3,0.7,0.5135,1027
10,0.025,4,0.7,0.804,1608
10,0.025,5,0.7,0.6725,1345
10,0.025,6,0.7,0.504,1008
10,0.025,7,0.7,0.229,458
10,0.025,8,0.7,0.5145,1029
10,0.025,9,0.7,0.9005,1801
10,0.025,10,0.7,0.8145,1629
10,0,1,0.5,0.629,1258
10,0,2,0.5,0.6885,1377
10,0,3,0.5,0.2015,403
10,0,4,0.5,0.488,976
10,0,5,0.5,0.505,1010
10,0,6,0.5,0.7895,1579
10,0,7,0.5,0.809,1618
10,0,8,0.5,0.6965,1393
10,0,9,0.5,0.334,668
10,0,10,0.5,0.097,194
10,0,1,0.6,0.829,1658
10,0,2,0.6,0.6565,1313
10,0,3,0.6,0.3395,679
10,0,4,0.6,0.196,392
10,0,5,0.6,0.633,1266
10,0,6,0.6,0.982,1964
10,0,7,0.6,0.501,1002
10,0,8,0.6,0.501,1002
10,0,9,0.6,0.8945,1789
10,0,10,0.6,0.338,676
10,0,1,0.7,0.6885,1377
10,0,2,0.7,0.183,366
10,0,3,0.7,0.102,204
10,0,4,0.7,0.752,1504
10,0,5,0.7,0.656,1312
10,0,6,0.7,0.099,198
10,0,7,0.7,0.5015,1003
10,0,8,0.7,0.113,226
10,0,9,0.7,0.675,1350
10,0,10,0.7,0.3295,659
20,0.3,1,0.5,0.099,198
20,0.3,2,0.5,0.1265,253
20,0.3,3,0.5,0.152,304
20,0.3,4,0.5,0.116,232
20,0.3,5,0.5,0.118,236
20,0.3,6,0.5,0.2195,439
20,0.3,7,0.5,0.061,122
20,0.3,8,0.5,0.147,294
20,0.3,9,0.5,0.2635,527
20,0.3,10,0.5,0.151,302
20,0.3,1,0.6,0.212,424
20,0.3,2,0.6,0.086,172
20,0.3,3,0.6,0.1495,299
20,0.3,4,0.6,0.352,704
20,0.3,5,0.6,0.3525,705
20,0.3,6,0.6,0.2335,467
20,0.3,7,0.6,0.0705,141
20,0.3,8,0.6,0.1745,349
20,0.3,9,0.6,0.1315,263
20,0.3,10,0.6,0.147,294
20,0.3,1,0.7,0.2095,419
20,0.3,2,0.7,0.3165,633
20,0.3,3,0.7,0.0585,117
20,0.3,4,0.7,0.1215,243
20,0.3,5,0.7,0.2115,423
20,0.3,6,0.7,0.127,254
20,0.3,7,0.7,0.1445,289
20,0.3,8,0.7,0.3145,629
20,0.3,9,0.7,0.0415,83
20,0.3,10,0.7,0.0985,197
20,0.2,1,0.5,0.035,70
20,0.2,2,0.5,0.3645,729
20,0.2,3,0.5,0.0515,103
20,0.2,4,0.5,0.059,118
20,0.2,5,0.5,0.0975,195
20,0.2,6,0.5,0.492,984
20,0.2,7,0.5,0.378,756
20,0.2,8,0.5,0.0695,139
20,0.2,9,0.5,0.0945,189
20,0.2,10,0.5,0.0835,167
20,0.2,1,0.6,0.2435,487
20,0.2,2,0.6,0.2415,483
20,0.2,3,0.6,0.0355,71
20,0.2,4,0.6,0.1335,267
20,0.2,5,0.6,0,0
20,0.2,6,0.6,0.269,538
20,0.2,7,0.6,0.511,1022
20,0.2,8,0.6,0.036,72
20,0.2,9,0.6,0.2035,407
20,0.2,10,0.6,0.2275,455
20,0.2,1,0.7,0.497,994
20,0.2,2,0.7,0.2075,415
20,0.2,3,0.7,0.2445,489
20,0.2,4,0.7,0.5105,1021
20,0.2,5,0.7,0.4725,945
20,0.2,6,0.7,0.495,990
20,0.2,7,0.7,0.0705,141
20,0.2,8,0.7,0.4865,973
20,0.2,9,0.7,0.0675,135
20,0.2,10,0.7,0.0675,135
20,0.1,1,0.5,0.337,674
20,0.1,2,0.5,0.0215,43
20,0.1,3,0.5,0.525,1050
20,0.1,4,0.5,0.4005,801
20,0.1,5,0.5,0.268,536
20,0.1,6,0.5,0.539,1078
20,0.1,7,0.5,0.0955,191
20,0.1,8,0.5,0.092,184
20,0.1,9,0.5,0.3885,777
20,0.1,10,0.5,0.244,488
20,0.1,1,0.6,0.6455,1291
20,0.1,2,0.6,0.6205,1241
20,0.1,3,0.6,0.1935,387
20,0.1,4,0.6,0.2445,489
20,0.1,5,0.6,0.096,192
20,0.1,6,0.6,0.1295,259
20,0.1,7,0.6,0.2135,427
20,0.1,8,0.6,0.1035,207
20,0.1,9,0.6,0.142,284
20,0.1,10,0.6,0.012,24
20,0.1,1,0.7,0.1725,345
20,0.1,2,0.7,0.1255,251
20,0.1,3,0.7,0.518,1036
20,0.1,4,0.7,0.069,138
20,0.1,5,0.7,0.4275,855
20,0.1,6,0.7,0.052,104
20,0.1,7,0.7,0.385,770
20,0.1,8,0.7,0.238,476
20,0.1,9,0.7,0.248,496
20,0.1,10,0.7,0.77,1540
20,0.05,1,0.5,0.7,1400
20,0.05,2,0.5,0.386,772
20,0.05,3,0.5,0.6515,1303
20,0.05,4,0.5,0.347,694
20,0.05,5,0.5,0.087,174
20,0.05,6,0.5,0.3765,753
20,0.05,7,0.5,0.6525,1305
20,0.05,8,0.5,0.1375,275
20,0.05,9,0.5,0.537,1074
20,0.05,10,0.5,0.089,178
20,0.05,1,0.6,0.7315,1463
20,0.05,2,0.6,0.0835,167
20,0.05,3,0.6,0.113,226
20,0.05,4,0.6,0.08,160
20,0.05,5,0.6,0.783,1566
20,0.05,6,0.6,0.6455,1291
20,0.05,7,0.6,0.221,442
20,0.05,8,0.6,0.623,1246
20,0.05,9,0.6,0.646,1292
20,0.05,10,0.6,0.4925,985
20,0.05,1,0.7,0.7615,1523
20,0.05,2,0.7,0.325,650
20,0.05,3,0.7,0.739,1478
20,0.05,4,0.7,0.039,78
20,0.05,5,0.7,0.3055,611
20,0.05,6,0.7,0.2305,461
20,0.05,7,0.7,0.4875,975
20,0.05,8,0.7,0.862,1724
20,0.05,9,0.7,0.499,998
20,0.05,10,0.7,0.651,1302
20,0.025,1,0.5,0.756,1512
20,0.025,2,0.5,0.6415,1283
20,0.025,3,0.5,0.631,1262
20,0.025,4,0.5,0.504,1008
20,0.025,5,0.5,0.7265,1453
20,0.025,6,0.5,0.368,736
20,0.025,7,0.5,0.239,478
20,0.025,8,0.5,0.5185,1037
20,0.025,9,0.5,0.034,68
20,0.025,10,0.5,0.1535,307
20,0.025,1,0.6,0.367,734
20,0.025,2,0.6,0.4145,829
20,0.025,3,0.6,0.293,586
20,0.025,4,0.6,0.495,990
20,0.025,5,0.6,0.332,664
20,0.025,6,0.6,0.338,676
20,0.025,7,0.6,0.8345,1669
20,0.025,8,0.6,0.5185,1037
20,0.025,9,0.6,0.6735,1347
20,0.025,10,0.6,0.357,714
20,0.025,1,0.7,0.9165,1833
20,0.025,2,0.7,0.643,1286
20,0.025,3,0.7,0.6525,1305
20,0.025,4,0.7,0.263,526
20,0.025,5,0.7,0.2055,411
20,0.025,6,0.7,0.149,298
20,0.025,7,0.7,0.371,742
20,0.025,8,0.7,0.1285,257
20,0.025,9,0.7,0.519,1038
20,0.025,10,0.7,0.4005,801
20,0,1,0.5,0.74,1480
20,0,2,0.5,0.48,960
20,0,3,0.5,0.377,754
20,0,4,0.5,0.8385,1677
20,0,5,0.5,0.1055,211
20,0,6,0.5,0.261,522
20,0,7,0.5,0.2135,427
20,0,8,0.5,0.2285,457
20,0,9,0.5,0.0315,63
20,0,10,0.5,0.597,1194
20,0,1,0.6,0.1625,325
20,0,2,0.6,0.2835,567
20,0,3,0.6,0.644,1288
20,0,4,0.6,0.96,1920
20,0,5,0.6,0.918,1836
20,0,6,0.6,0.241,482
20,0,7,0.6,0.007,14
20,0,8,0.6,0.6515,1303
20,0,9,0.6,0.53,1060
20,0,10,0.6,0.8085,1617
20,0,1,0.7,0.2285,457
20,0,2,0.7,0.502,1004
20,0,3,0.7,0.2075,415
20,0,4,0.7,0.789,1578
20,0,5,0.7,0.908,1816
20,0,6,0.7,0.509,1018
20,0,7,0.7,0.4945,989
20,0,8,0.7,0.358,716
20,0,9,0.7,0.495,990
20,0,10,0.7,0.497,994
30,0.3,1,0.5,0.0075,15
30,0.3,2,0.5,0.1195,239
30,0.3,3,0.5,0.2515,503
30,0.3,4,0.5,0.1865,373
30,0.3,5,0.5,0.098,196
30,0.3,6,0.5,0.063,126
30,0.3,7,0.5,0.048,96
30,0.3,8,0.5,0.021,42
30,0.3,9,0.5,0.0865,173
30,0.3,10,0.5,0.5145,1029
30,0.3,1,0.6,0.0325,65
30,0.3,2,0.6,0.0115,23
30,0.3,3,0.6,0.168,336
30,0.3,4,0.6,0.1625,325
30,0.3,5,0.6,0.211,422
30,0.3,6,0.6,0.0245,49
30,0.3,7,0.6,0.047,94
30,0.3,8,0.6,0.356,712
30,0.3,9,0.6,0.0815,163
30,0.3,10,0.6,0.1885,377
30,0.3,1,0.7,0.2285,457
30,0.3,2,0.7,0.128,256
30,0.3,3,0.7,0.0705,141
30,0.3,4,0.7,0.048,96
30,0.3,5,0.7,0.069,138
30,0.3,6,0.7,0.009,18
30,0.3,7,0.7,0.1375,275
30,0.3,8,0.7,0.08,160
30,0.3,9,0.7,0.0195,39
30,0.3,10,0.7,0.128,256
30,0.2,1,0.5,0.7225,1445
30,0.2,2,0.5,0.126,252
30,0.2,3,0.5,0.3895,779
30,0.2,4,0.5,0.043,86
30,0.2,5,0.5,0.054,108
30,0.2,6,0.5,0.248,496
30,0.2,7,0.5,0.124,248
30,0.2,8,0.5,0.0075,15
30,0.2,9,0.5,0.4085,817
30,0.2,10,0.5,0.103,206
30,0.2,1,0.6,0.2715,543
30,0.2,2,0.6,0.0345,69
30,0.2,3,0.6,0.1135,227
30,0.2,4,0.6,0.0925,185
30,0.2,5,0.6,0.1855,371
30,0.2,6,0.6,0.172,344
30,0.2,7,0.6,0.0065,13
30,0.2,8,0.6,0.1725,345
30,0.2,9,0.6,0.1765,353
30,0.2,10,0.6,0.0705,141
30,0.2,1,0.7,0.156,312
30,0.2,2,0.7,0.077,154
30,0.2,3,0.7,0.2175,435
30,0.2,4,0.7,0.0285,57
30,0.2,5,0.7,0.247,494
30,0.2,6,0.7,0.0435,87
30,0.2,7,0.7,0.087,174
30,0.2,8,0.7,0.2565,513
30,0.2,9,0.7,0.2475,495
30,0.2,10,0.7,0.6555,1311
30,0.1,1,0.5,0.208,416
30,0.1,2,0.5,0.0995,199
30,0.1,3,0.5,0.258,516
30,0.1,4,0.5,0.5465,1093
30,0.1,5,0.5,0.5125,1025
30,0.1,6,0.5,0.2245,449
30,0.1,7,0.5,0.213,426
30,0.1,8,0.5,0.524,1048
30,0.1,9,0.5,0.608,1216
30,0.1,10,0.5,0.2735,547
30,0.1,1,0.6,0.2115,423
30,0.1,2,0.6,0.7665,1533
30,0.1,3,0.6,0.317,634
30,0.1,4,0.6,0.1485,297
30,0.1,5,0.6,0.844,1688
30,0.1,6,0.6,0.182,364
30,0.1,7,0.6,0.72,1440
30,0.1,8,0.6,0.7285,1457
30,0.1,9,0.6,0.6385,1277
30,0.1,10,0.6,0.103,206
30,0.1,1,0.7,0.098,196
30,0.1,2,0.7,0.0815,163
30,0.1,3,0.7,0.087,174
30,0.1,4,0.7,0.0585,117
30,0.1,5,0.7,0.0595,119
30,0.1,6,0.7,0.4575,915
30,0.1,7,0.7,0.0575,115
