"","n","changeprob_mean","n_suburban","repetition","survival_control","proportion_estimates_below_zero_condition","count_estimates_below_zero_condition","proportion_estimates_below_zero_habitatnatural","proportion_estimates_below_zero_habitatsuburban"
"1",10,0.3,1,1,0.5,0.3415,683,"0.319","0.584"
"2",10,0.3,3,2,0.5,0.6785,1357,"0.5415","0.5375"
"3",10,0.3,3,3,0.5,0.212,424,"0.312","0.469"
"4",10,0.3,1,4,0.5,0.217,434,"0.3375","0.3915"
"5",10,0.3,3,5,0.5,0.35,700,"0.3815","0.4105"
"6",10,0.3,3,6,0.5,0.493,986,"0.4695","0.557"
"7",10,0.3,3,7,0.5,0.0975,195,"0.303","0.256"
"8",10,0.3,2,8,0.5,0.3485,697,"0.429","0.491"
"9",10,0.3,1,9,0.5,0.126,252,"0.196","0.4135"
"10",10,0.3,0,10,0.5,0.1285,257,"NA","NA"
"11",10,0.3,1,1,0.6,0.3385,677,"0.3785","0.4185"
"12",10,0.3,1,2,0.6,0.203,406,"0.3095","0.416"
"13",10,0.3,2,3,0.6,0.3365,673,"0.3335","0.517"
"14",10,0.3,2,4,0.6,0.104,208,"0.279","0.3685"
"15",10,0.3,6,5,0.6,0.2075,415,"0.3585","0.3755"
"16",10,0.3,3,6,0.6,0.207,414,"0.1985","0.603"
"17",10,0.3,2,7,0.6,0.315,630,"0.4175","0.3545"
"18",10,0.3,2,8,0.6,0.0895,179,"0.235","0.352"
"19",10,0.3,3,9,0.6,0.5195,1039,"0.4645","0.5445"
"20",10,0.3,1,10,0.6,0.095,190,"0.2","0.415"
"21",10,0.3,3,1,0.7,0.0995,199,"0.304","0.2725"
"22",10,0.3,2,2,0.7,0.485,970,"0.494","0.509"
"23",10,0.3,3,3,0.7,0.5035,1007,"0.2675","0.7205"
"24",10,0.3,1,4,0.7,0.037,74,"0.0955","0.4285"
"25",10,0.3,0,5,0.7,0.1975,395,"NA","NA"
"26",10,0.3,4,6,0.7,0.194,388,"0.2195","0.499"
"27",10,0.3,0,7,0.7,0.5045,1009,"NA","NA"
"28",10,0.3,0,8,0.7,0.187,374,"NA","NA"
"29",10,0.3,1,9,0.7,0.3425,685,"0.3765","0.431"
"30",10,0.3,3,10,0.7,0.529,1058,"0.3745","0.6055"
"31",10,0.2,2,1,0.5,0.18,360,"0.3715","0.344"
"32",10,0.2,4,2,0.5,0.2085,417,"0.32","0.3635"
"33",10,0.2,3,3,0.5,0.015,30,"0.057","0.2425"
"34",10,0.2,4,4,0.5,0.203,406,"0.2705","0.5185"
"35",10,0.2,3,5,0.5,0.3525,705,"0.449","0.467"
"36",10,0.2,1,6,0.5,0.5005,1001,"0.4455","0.5665"
"37",10,0.2,4,7,0.5,0.2125,425,"0.356","0.35"
"38",10,0.2,2,8,0.5,0.1925,385,"0.458","0.365"
"39",10,0.2,1,9,0.5,0.328,656,"0.2765","0.582"
"40",10,0.2,1,10,0.5,0.311,622,"0.4215","0.429"
"41",10,0.2,2,1,0.6,0.1995,399,"0.2615","0.483"
"42",10,0.2,0,2,0.6,0.307,614,"NA","NA"
"43",10,0.2,4,3,0.6,0.6495,1299,"0.6425","0.4985"
"44",10,0.2,4,4,0.6,0.4895,979,"0.493","0.44"
"45",10,0.2,1,5,0.6,0.5345,1069,"0.4425","0.5875"
"46",10,0.2,1,6,0.6,0.505,1010,"0.4755","0.568"
"47",10,0.2,3,7,0.6,0.5075,1015,"0.4745","0.5865"
"48",10,0.2,2,8,0.6,0.194,388,"0.2425","0.49"
"49",10,0.2,5,9,0.6,0.6605,1321,"0.41","0.6095"
"50",10,0.2,1,10,0.6,0.3175,635,"0.378","0.4225"
"51",10,0.2,3,1,0.7,0.2235,447,"0.4685","0.2575"
"52",10,0.2,2,2,0.7,0.3165,633,"0.422","0.367"
"53",10,0.2,4,3,0.7,0.509,1018,"0.5605","0.4135"
"54",10,0.2,2,4,0.7,0.349,698,"0.5055","0.328"
"55",10,0.2,1,5,0.7,0.0985,197,"0.1945","0.4345"
"56",10,0.2,1,6,0.7,0.1675,335,"0.2045","0.579"
"57",10,0.2,2,7,0.7,0.4875,975,"0.645","0.3315"
"58",10,0.2,3,8,0.7,0.6475,1295,"0.3965","0.718"
"59",10,0.2,1,9,0.7,0.4995,999,"0.5045","0.4205"
"60",10,0.2,2,10,0.7,0.651,1302,"0.485","0.6825"
"61",10,0.1,2,1,0.5,0.3415,683,"0.273","0.6865"
"62",10,0.1,1,2,0.5,0.6475,1295,"0.5225","0.562"
"63",10,0.1,2,3,0.5,0.492,984,"0.4075","0.624"
"64",10,0.1,2,4,0.5,0.4945,989,"0.5085","0.5185"
"65",10,0.1,1,5,0.5,0.631,1262,"0.5655","0.575"
"66",10,0.1,1,6,0.5,0.328,656,"0.456","0.4285"
"67",10,0.1,4,7,0.5,0.368,736,"0.325","0.551"
"68",10,0.1,2,8,0.5,0.507,1014,"0.3265","0.6345"
"69",10,0.1,2,9,0.5,0.687,1374,"0.732","0.33"
"70",10,0.1,4,10,0.5,0.2005,401,"0.41","0.427"
"71",10,0.1,3,1,0.6,0.4875,975,"0.5335","0.4565"
"72",10,0.1,4,2,0.6,0.353,706,"0.405","0.5435"
"73",10,0.1,4,3,0.6,0.334,668,"0.59","0.237"
"74",10,0.1,3,4,0.6,0.107,214,"0.3145","0.268"
"75",10,0.1,2,5,0.6,0.669,1338,"0.7225","0.3735"
"76",10,0.1,2,6,0.6,0.324,648,"0.374","0.49"
"77",10,0.1,4,7,0.6,0.5125,1025,"0.5955","0.3475"
"78",10,0.1,4,8,0.6,0.4995,999,"0.4805","0.4535"
"79",10,0.1,1,9,0.6,0.2055,411,"0.207","0.561"
"80",10,0.1,2,10,0.6,0.3185,637,"0.514","0.3225"
"81",10,0.1,2,1,0.7,0.189,378,"0.365","0.3125"
"82",10,0.1,2,2,0.7,0.4655,931,"0.4275","0.5125"
"83",10,0.1,2,3,0.7,0.323,646,"0.4945","0.396"
"84",10,0.1,3,4,0.7,0.4895,979,"0.4385","0.573"
"85",10,0.1,3,5,0.7,0.698,1396,"0.554","0.5815"
"86",10,0.1,2,6,0.7,0.635,1270,"0.566","0.4955"
"87",10,0.1,1,7,0.7,0.1095,219,"0.187","0.4185"
"88",10,0.1,2,8,0.7,0.3125,625,"0.3485","0.499"
"89",10,0.1,3,9,0.7,0.5545,1109,"0.4535","0.5895"
"90",10,0.1,3,10,0.7,0.757,1514,"0.5425","0.73"
"91",10,0.05,2,1,0.5,0.212,424,"0.367","0.3245"
"92",10,0.05,2,2,0.5,0.383,766,"0.33","0.5195"
"93",10,0.05,2,3,0.5,0.357,714,"0.2165","0.672"
"94",10,0.05,4,4,0.5,0.5005,1001,"0.3445","0.571"
"95",10,0.05,0,5,0.5,0.3015,603,"NA","NA"
"96",10,0.05,0,6,0.5,0.1745,349,"NA","NA"
"97",10,0.05,4,7,0.5,0.1905,381,"0.2355","0.47"
"98",10,0.05,5,8,0.5,0.7065,1413,"0.559","0.601"
"99",10,0.05,2,9,0.5,0.4965,993,"0.5785","0.4975"
"100",10,0.05,4,10,0.5,0.111,222,"0.2325","0.346"
"101",10,0.05,3,1,0.6,0.4855,971,"0.472","0.5235"
"102",10,0.05,2,2,0.6,0.809,1618,"0.742","0.498"
"103",10,0.05,1,3,0.6,0.503,1006,"0.578","0.4135"
"104",10,0.05,0,4,0.6,0.6805,1361,"NA","NA"
"105",10,0.05,1,5,0.6,0.2015,403,"0.1855","0.5875"
"106",10,0.05,4,6,0.6,0.769,1538,"0.7205","0.477"
"107",10,0.05,3,7,0.6,0.2315,463,"0.4665","0.27"
"108",10,0.05,4,8,0.6,0.8065,1613,"0.7665","0.4845"
"109",10,0.05,3,9,0.6,0.1985,397,"0.2565","0.41"
"110",10,0.05,1,10,0.6,0.8195,1639,"0.796","0.412"
"111",10,0.05,1,1,0.7,0.5145,1029,"0.523","0.4225"
"112",10,0.05,4,2,0.7,0.3305,661,"0.3575","0.501"
"113",10,0.05,1,3,0.7,0.5305,1061,"0.635","0.41"
"114",10,0.05,3,4,0.7,0.518,1036,"0.376","0.548"
"115",10,0.05,1,5,0.7,0.3095,619,"0.324","0.563"
"116",10,0.05,2,6,0.7,0.178,356,"0.333","0.322"
"117",10,0.05,2,7,0.7,0.5275,1055,"0.5115","0.5035"
"118",10,0.05,4,8,0.7,0.1835,367,"0.503","0.1775"
"119",10,0.05,2,9,0.7,0.2145,429,"0.228","0.5105"
"120",10,0.05,4,10,0.7,0.5265,1053,"0.444","0.646"
"121",10,0.025,2,1,0.5,0.469,938,"0.3925","0.4875"
"122",10,0.025,1,2,0.5,0.792,1584,"0.69","0.5655"
"123",10,0.025,0,3,0.5,0.3515,703,"NA","NA"
"124",10,0.025,2,4,0.5,0.4915,983,"0.445","0.513"
"125",10,0.025,3,5,0.5,0.472,944,"0.432","0.558"
"126",10,0.025,2,6,0.5,0.49,980,"0.526","0.4915"
"127",10,0.025,2,7,0.5,0.33,660,"0.37","0.5155"
"128",10,0.025,3,8,0.5,0.1815,363,"0.1995","0.5385"
"129",10,0.025,4,9,0.5,0.514,1028,"0.522","0.4855"
"130",10,0.025,5,10,0.5,0.4805,961,"0.576","0.4195"
"131",10,0.025,0,1,0.6,0.498,996,"NA","NA"
"132",10,0.025,2,2,0.6,0.5095,1019,"0.604","0.3155"
"133",10,0.025,0,3,0.6,0.361,722,"NA","NA"
"134",10,0.025,2,4,0.6,0.5055,1011,"0.5925","0.5145"
"135",10,0.025,2,5,0.6,0.6225,1245,"0.5675","0.4965"
"136",10,0.025,5,6,0.6,0.534,1068,"0.4145","0.5445"
"137",10,0.025,2,7,0.6,0.807,1614,"0.7505","0.497"
"138",10,0.025,2,8,0.6,0.3345,669,"0.2415","0.6395"
"139",10,0.025,2,9,0.6,0.4675,935,"0.607","0.3055"
"140",10,0.025,2,10,0.6,0.4695,939,"0.306","0.604"
"141",10,0.025,2,1,0.7,0.4745,949,"0.5695","0.3885"
"142",10,0.025,0,2,0.7,0.8075,1615,"NA","NA"
"143",10,0.025,0,3,0.7,0.5325,1065,"NA","NA"
"144",10,0.025,1,4,0.7,0.798,1596,"0.6345","0.5815"
"145",10,0.025,3,5,0.7,0.509,1018,"0.5305","0.448"
"146",10,0.025,2,6,0.7,0.698,1396,"0.5045","0.6655"
"147",10,0.025,3,7,0.7,0.7795,1559,"0.6455","0.5525"
"148",10,0.025,4,8,0.7,0.479,958,"0.656","0.4065"
"149",10,0.025,2,9,0.7,0.3635,727,"0.4045","0.505"
"150",10,0.025,2,10,0.7,0.3455,691,"0.51","0.328"
"151",10,0,1,1,0.5,0.7985,1597,"0.6475","0.5915"
"152",10,0,1,2,0.5,0.6595,1319,"0.6555","0.426"
"153",10,0,2,3,0.5,0.7955,1591,"0.77","0.4845"
"154",10,0,4,4,0.5,0.8095,1619,"0.554","0.648"
"155",10,0,2,5,0.5,0.668,1336,"0.6235","0.5015"
"156",10,0,2,6,0.5,0.4665,933,"0.322","0.65"
"157",10,0,2,7,0.5,0.317,634,"0.4165","0.4965"
"158",10,0,2,8,0.5,0.1765,353,"0.262","0.495"
"159",10,0,2,9,0.5,0.221,442,"0.2275","0.5085"
"160",10,0,1,10,0.5,0.3185,637,"0.4855","0.418"
"161",10,0,2,1,0.6,0.6915,1383,"0.5575","0.498"
"162",10,0,1,2,0.6,0.6435,1287,"0.534","0.578"
"163",10,0,2,3,0.6,0.2275,455,"0.2715","0.493"
"164",10,0,4,4,0.6,0.498,996,"0.669","0.357"
"165",10,0,3,5,0.6,0.6465,1293,"0.6105","0.5955"
"166",10,0,5,6,0.6,0.094,188,"0.296","0.2905"
"167",10,0,3,7,0.6,0.4885,977,"0.5765","0.412"
"168",10,0,1,8,0.6,0.241,482,"0.354","0.4305"
"169",10,0,2,9,0.6,0.5205,1041,"0.6615","0.3365"
"170",10,0,0,10,0.6,0.3455,691,"NA","NA"
"171",10,0,2,1,0.7,0.806,1612,"0.6155","0.614"
"172",10,0,1,2,0.7,0.739,1478,"0.632","0.584"
"173",10,0,3,3,0.7,0.781,1562,"0.6775","0.5845"
"174",10,0,0,4,0.7,0.6695,1339,"NA","NA"
"175",10,0,1,5,0.7,0.5165,1033,"0.5615","0.4145"
"176",10,0,2,6,0.7,0.4895,979,"0.4025","0.673"
"177",10,0,4,7,0.7,0.6605,1321,"0.774","0.3525"
"178",10,0,4,8,0.7,0.69,1380,"0.606","0.457"
"179",10,0,2,9,0.7,0.4865,973,"0.542","0.376"
"180",10,0,4,10,0.7,0.0955,191,"0.299","0.1975"
"181",20,0.3,3,1,0.5,0.4815,963,"0.3515","0.5665"
"182",20,0.3,2,2,0.5,0.255,510,"0.2965","0.521"
"183",20,0.3,5,3,0.5,0.264,528,"0.359","0.405"
"184",20,0.3,6,4,0.5,0.021,42,"0.1115","0.277"
"185",20,0.3,1,5,0.5,0.0865,173,"0.1965","0.434"
"186",20,0.3,9,6,0.5,0.031,62,"0.1195","0.315"
"187",20,0.3,9,7,0.5,0.063,126,"0.2485","0.1895"
"188",20,0.3,6,8,0.5,0.2755,551,"0.29","0.3555"
"189",20,0.3,2,9,0.5,0.38,760,"0.452","0.4865"
"190",20,0.3,1,10,0.5,0.172,344,"0.309","0.4285"
"191",20,0.3,7,1,0.6,0.3615,723,"0.2385","0.5515"
"192",20,0.3,5,2,0.6,0.2455,491,"0.368","0.4405"
"193",20,0.3,5,3,0.6,0.028,56,"0.1145","0.297"
"194",20,0.3,4,4,0.6,0.2685,537,"0.1905","0.4615"
"195",20,0.3,6,5,0.6,0.1495,299,"0.16","0.4955"
"196",20,0.3,2,6,0.6,0.072,144,"0.26","0.381"
"197",20,0.3,3,7,0.6,0.147,294,"0.161","0.4185"
"198",20,0.3,2,8,0.6,0.0095,19,"0.052","0.374"
"199",20,0.3,5,9,0.6,0.085,170,"0.425","0.288"
"200",20,0.3,3,10,0.6,0.044,88,"0.1115","0.2455"
"201",20,0.3,3,1,0.7,0.135,270,"0.109","0.6185"
"202",20,0.3,4,2,0.7,0.157,314,"0.0455","0.8035"
"203",20,0.3,5,3,0.7,0.0715,143,"0.199","0.309"
"204",20,0.3,2,4,0.7,0.1355,271,"0.1775","0.352"
"205",20,0.3,6,5,0.7,0.042,84,"0.1735","0.233"
"206",20,0.3,5,6,0.7,0.0335,67,"0.1885","0.1735"
"207",20,0.3,5,7,0.7,0.117,234,"0.128","0.413"
"208",20,0.3,5,8,0.7,0.069,138,"0.1945","0.1745"
"209",20,0.3,3,9,0.7,0.1375,275,"0.173","0.448"
"210",20,0.3,3,10,0.7,0.0545,109,"0.1645","0.2595"
"211",20,0.2,3,1,0.5,0.605,1210,"0.612","0.412"
"212",20,0.2,5,2,0.5,0.51,1020,"0.447","0.612"
"213",20,0.2,2,3,0.5,0.376,752,"0.263","0.638"
"214",20,0.2,4,4,0.5,0.239,478,"0.3395","0.513"
"215",20,0.2,3,5,0.5,0.254,508,"0.382","0.402"
"216",20,0.2,8,6,0.5,0.1285,257,"0.1285","0.4675"
"217",20,0.2,1,7,0.5,0.1295,259,"0.276","0.4335"
"218",20,0.2,4,8,0.5,0.7565,1513,"0.7935","0.3455"
"219",20,0.2,7,9,0.5,0.3735,747,"0.363","0.607"
"220",20,0.2,8,10,0.5,0.2555,511,"0.4665","0.26"
"221",20,0.2,3,1,0.6,0.225,450,"0.157","0.553"
"222",20,0.2,3,2,0.6,0.3565,713,"0.4665","0.467"
"223",20,0.2,2,3,0.6,0.138,276,"0.248","0.321"
"224",20,0.2,4,4,0.6,0.0575,115,"0.1685","0.3425"
"225",20,0.2,5,5,0.6,0.0415,83,"0.1045","0.2815"
"226",20,0.2,5,6,0.6,0.156,312,"0.2325","0.4065"
"227",20,0.2,8,7,0.6,0.6525,1305,"0.456","0.655"
"228",20,0.2,5,8,0.6,0.238,476,"0.312","0.4815"
"229",20,0.2,3,9,0.6,0.283,566,"0.159","0.5495"
"230",20,0.2,4,10,0.6,0.074,148,"0.339","0.315"
"231",20,0.2,6,1,0.7,0.5115,1023,"0.6125","0.502"
"232",20,0.2,3,2,0.7,0.2385,477,"0.2265","0.605"
"233",20,0.2,7,3,0.7,0.051,102,"0.22","0.3245"
"234",20,0.2,3,4,0.7,0.6615,1323,"0.472","0.5595"
"235",20,0.2,2,5,0.7,0.2395,479,"0.447","0.3765"
"236",20,0.2,6,6,0.7,0.145,290,"0.216","0.446"
"237",20,0.2,8,7,0.7,0.0935,187,"0.1775","0.4005"
"238",20,0.2,8,8,0.7,0.3465,693,"0.3885","0.514"
"239",20,0.2,5,9,0.7,0.2165,433,"0.2965","0.3795"
"240",20,0.2,7,10,0.7,0.8705,1741,"0.612","0.642"
"241",20,0.1,7,1,0.5,0.646,1292,"0.47","0.7165"
"242",20,0.1,3,2,0.5,0.238,476,"0.3015","0.532"
"243",20,0.1,4,3,0.5,0.153,306,"0.459","0.312"
"244",20,0.1,5,4,0.5,0.19,380,"0.1985","0.559"
"245",20,0.1,2,5,0.5,0.0975,195,"0.18","0.507"
"246",20,0.1,7,6,0.5,0.8855,1771,"0.7535","0.621"
"247",20,0.1,2,7,0.5,0.871,1742,"0.881","0.369"
"248",20,0.1,4,8,0.5,0.897,1794,"0.7585","0.566"
"249",20,0.1,5,9,0.5,0.545,1090,"0.5415","0.3995"
"250",20,0.1,10,10,0.5,0.514,1028,"0.708","0.29"
"251",20,0.1,3,1,0.6,0.3635,727,"0.279","0.664"
"252",20,0.1,6,2,0.6,0.7775,1555,"0.859","0.375"
"253",20,0.1,5,3,0.6,0.982,1964,"0.8145","0.88"
"254",20,0.1,4,4,0.6,0.356,712,"0.499","0.407"
"255",20,0.1,6,5,0.6,0.4945,989,"0.629","0.36"
"256",20,0.1,6,6,0.6,0.3465,693,"0.3915","0.4305"
"257",20,0.1,6,7,0.6,0.0195,39,"0.1205","0.2225"
"258",20,0.1,5,8,0.6,0.371,742,"0.4415","0.431"
"259",20,0.1,5,9,0.6,0.6305,1261,"0.4395","0.71"
"260",20,0.1,6,10,0.6,0.8565,1713,"0.6425","0.514"
"261",20,0.1,4,1,0.7,0.246,492,"0.1815","0.6585"
"262",20,0.1,4,2,0.7,0.1365,273,"0.0245","0.8035"
"263",20,0.1,4,3,0.7,0.642,1284,"0.8645","0.1875"
"264",20,0.1,2,4,0.7,0.3585,717,"0.449","0.4955"
"265",20,0.1,2,5,0.7,0.3705,741,"0.367","0.5085"
"266",20,0.1,8,6,0.7,0.223,446,"0.141","0.68"
"267",20,0.1,5,7,0.7,0.375,750,"0.2495","0.7035"
"268",20,0.1,7,8,0.7,0.071,142,"0.19","0.539"
"269",20,0.1,9,9,0.7,0.4035,807,"0.728","0.0945"
"270",20,0.1,6,10,0.7,0.482,964,"0.351","0.6055"
"271",20,0.05,4,1,0.5,0.257,514,"0.409","0.431"
"272",20,0.05,6,2,0.5,0.254,508,"0.4775","0.2545"
"273",20,0.05,5,3,0.5,0.515,1030,"0.4945","0.5935"
"274",20,0.05,2,4,0.5,0.4775,955,"0.5045","0.5035"
"275",20,0.05,7,5,0.5,0.526,1052,"0.5875","0.4395"
"276",20,0.05,4,6,0.5,0.5855,1171,"0.47","0.6355"
"277",20,0.05,5,7,0.5,0.2455,491,"0.3615","0.4505"
"278",20,0.05,6,8,0.5,0.2245,449,"0.5075","0.204"
"279",20,0.05,2,9,0.5,0.496,992,"0.5085","0.497"
"280",20,0.05,1,10,0.5,0.654,1308,"0.5175","0.5735"
"281",20,0.05,8,1,0.6,0.651,1302,"0.454","0.5695"
"282",20,0.05,4,2,0.6,0.2185,437,"0.466","0.4325"
"283",20,0.05,6,3,0.6,0.797,1594,"0.699","0.4885"
"284",20,0.05,5,4,0.6,0.8425,1685,"0.71","0.4925"
"285",20,0.05,4,5,0.6,0.5255,1051,"0.538","0.4445"
"286",20,0.05,5,6,0.6,0.649,1298,"0.5395","0.535"
"287",20,0.05,5,7,0.6,0.381,762,"0.5205","0.3055"
"288",20,0.05,5,8,0.6,0.5035,1007,"0.4435","0.528"
"289",20,0.05,5,9,0.6,0.723,1446,"0.353","0.8325"
"290",20,0.05,6,10,0.6,0.746,1492,"0.792","0.4405"
"291",20,0.05,6,1,0.7,0.043,86,"0.1885","0.282"
"292",20,0.05,7,2,0.7,0.8635,1727,"0.5785","0.7025"
"293",20,0.05,6,3,0.7,0.3255,651,"0.551","0.257"
"294",20,0.05,8,4,0.7,0.49,980,"0.4105","0.617"
"295",20,0.05,4,5,0.7,0.3705,741,"0.281","0.622"
"296",20,0.05,5,6,0.7,0.38,760,"0.3625","0.6045"
"297",20,0.05,4,7,0.7,0.2025,405,"0.315","0.4485"
"298",20,0.05,4,8,0.7,0.6205,1241,"0.5155","0.648"
"299",20,0.05,4,9,0.7,0.3585,717,"0.5415","0.4105"
"300",20,0.05,7,10,0.7,0.238,476,"0.4545","0.3075"
